"site_name","site_spp_phen","predictor","effect_size","lower","upper"
"ALEXFIORD","ALEXFIORD_DRYINT_flowering","Snowmelt",4.24581304097454,2.8254758571706,5.68349105994165
"ALEXFIORD","ALEXFIORD_DRYINT_green_up","Snowmelt",4.34474768293997,2.94139750654348,5.76353753169651
"ALEXFIORD","ALEXFIORD_LUZSPP_flowering","Snowmelt",3.8312999821991,1.87493133552505,5.79969868801208
"ALEXFIORD","ALEXFIORD_OXYDIG_flowering","Snowmelt",2.54938626867068,0.954988508506162,4.14259304806474
"ALEXFIORD","ALEXFIORD_OXYDIG_green_up","Snowmelt",4.11048182859805,2.5663991313991,5.66912270266065
"ALEXFIORD","ALEXFIORD_PAPRAD_flowering","Snowmelt",2.65132425899393,1.17671742262159,4.13601531316818
"ALEXFIORD","ALEXFIORD_PAPRAD_green_up","Snowmelt",2.80526355342425,1.38175400131769,4.23701145358984
"ALEXFIORD","ALEXFIORD_SALARC_flowering","Snowmelt",3.37527254418172,1.75133696265598,5.01116534640426
"BARROW","BARROW_CASTET_green_up","Snowmelt",2.75985380395002,1.06492999007058,4.45837857655441
"BARROW","BARROW_DUPFIS_green_up","Snowmelt",4.13929177672447,2.25476929210788,6.04805757671684
"BARROW","BARROW_LUZARC_flowering","Snowmelt",2.85152492613175,1.38797357085282,4.33242186740509
"BARROW","BARROW_LUZARC_green_up","Snowmelt",2.94748668732844,1.49398472729596,4.41449415971908
"BARROW","BARROW_POAARC_green_up","Snowmelt",3.51308872392048,2.05162225971411,4.99357299076964
"BARROW","BARROW_SALROT_flowering","Snowmelt",4.06346004813752,2.55302271122381,5.59669264148442
"BARROW","BARROW_SALROT_green_up","Snowmelt",5.04249465281449,3.53854961062541,6.57581055088176
"QHI","QHI_DRYINT_flowering","Snowmelt",-0.351379916770123,-1.84024206150979,1.1123072528029
"QHI","QHI_ERIVAG_flowering","Snowmelt",4.14908847181565,2.59212282795368,5.70909578441909
"QHI","QHI_SALARC_green_up","Snowmelt",2.42905663613308,0.860454037839973,3.98702929588608
"ZACKENBERG","ZACKENBERG_CASTET_flowering","Snowmelt",3.78643565739688,2.16460419292034,5.41144816389065
"ZACKENBERG","ZACKENBERG_DRYOCT_flowering","Snowmelt",3.32710033713835,1.62049870571229,5.03194512528325
"ZACKENBERG","ZACKENBERG_PAPRAD_flowering","Snowmelt",3.90881855934717,2.13303362882505,5.69793900916484
"ZACKENBERG","ZACKENBERG_SALARC_flowering","Snowmelt",3.60712432836225,2.00579536589444,5.21366244097132
"ZACKENBERG","ZACKENBERG_SAXOPP_flowering","Snowmelt",2.16032762557858,0.237548972762409,4.05465732658819
"ZACKENBERG","ZACKENBERG_SILACA_flowering","Snowmelt",2.00538570585079,0.220036590959235,3.76547183226838
"ALEXFIORD","ALEXFIORD_DRYINT_flowering","Temperature",-3.98909300847136,-5.79108199482525,-2.25609424982037
"ALEXFIORD","ALEXFIORD_DRYINT_green_up","Temperature",-3.97065626514586,-5.7744901997434,-2.23834357143834
"ALEXFIORD","ALEXFIORD_LUZSPP_flowering","Temperature",-5.06331258823488,-7.60809971486316,-2.61089461699114
"ALEXFIORD","ALEXFIORD_OXYDIG_flowering","Temperature",-3.3182221856551,-5.22184190034597,-1.47197282137384
"ALEXFIORD","ALEXFIORD_OXYDIG_green_up","Temperature",-2.67686281324929,-4.53618894911864,-0.875973963001107
"ALEXFIORD","ALEXFIORD_PAPRAD_flowering","Temperature",-5.52687898956844,-7.39029024537926,-3.73409990830675
"ALEXFIORD","ALEXFIORD_PAPRAD_green_up","Temperature",-4.457943970156,-6.29627720050636,-2.69114744803144
"ALEXFIORD","ALEXFIORD_SALARC_flowering","Temperature",-2.16819210572045,-4.06485167738024,-0.326262060715375
"BARROW","BARROW_CASTET_green_up","Temperature",-1.01470484181782,-2.99841168668917,0.983187657802568
"BARROW","BARROW_DUPFIS_green_up","Temperature",-0.722373099455011,-2.74355918371493,1.3043027212239
"BARROW","BARROW_LUZARC_flowering","Temperature",-1.10542290515959,-2.97971765149594,0.802202002418083
"BARROW","BARROW_LUZARC_green_up","Temperature",-0.736221215136659,-2.54113879844642,1.10459831986734
"BARROW","BARROW_POAARC_green_up","Temperature",-0.713648645987506,-2.50112088448755,1.10715512027528
"BARROW","BARROW_SALROT_flowering","Temperature",-0.484453166548901,-2.3072864699162,1.37594470778364
"BARROW","BARROW_SALROT_green_up","Temperature",-0.515782873241387,-2.34720630458816,1.35708311364588
"QHI","QHI_DRYINT_flowering","Temperature",-0.7322077820054,-2.6037832697291,1.15374833088576
"QHI","QHI_ERIVAG_flowering","Temperature",-0.465812938004377,-2.23460751022547,1.31660073997989
"QHI","QHI_SALARC_green_up","Temperature",-2.47723601081941,-4.33905908894222,-0.611204289667741
"ZACKENBERG","ZACKENBERG_CASTET_flowering","Temperature",-2.46204943190383,-4.71500993619637,-0.228000011686289
"ZACKENBERG","ZACKENBERG_DRYOCT_flowering","Temperature",-0.927471229715447,-3.24090606953784,1.40475382253258
"ZACKENBERG","ZACKENBERG_PAPRAD_flowering","Temperature",-2.51503886921742,-5.05672140934791,0.0117377865497725
"ZACKENBERG","ZACKENBERG_SALARC_flowering","Temperature",-3.57399743867252,-5.84244108241336,-1.34458736473231
"ZACKENBERG","ZACKENBERG_SAXOPP_flowering","Temperature",-1.0360380541611,-3.55925207665712,1.49099983465296
"ZACKENBERG","ZACKENBERG_SILACA_flowering","Temperature",-2.26302271815465,-4.73461124863368,0.188045905058767
"ALEXFIORD","ALEXFIORD_DRYINT_flowering","Sea-Ice",-0.0511301116668927,-1.78337807882128,1.68091844558681
"ALEXFIORD","ALEXFIORD_DRYINT_green_up","Sea-Ice",0.681579775295389,-1.02839753296118,2.40552693051924
"ALEXFIORD","ALEXFIORD_LUZSPP_flowering","Sea-Ice",-0.702429722494681,-2.79066415562856,1.3232495879581
"ALEXFIORD","ALEXFIORD_OXYDIG_flowering","Sea-Ice",0.527775993373959,-1.25011624562028,2.32894084196489
"ALEXFIORD","ALEXFIORD_OXYDIG_green_up","Sea-Ice",-0.0903208740212192,-1.85025179101636,1.66586449943147
"ALEXFIORD","ALEXFIORD_PAPRAD_flowering","Sea-Ice",0.825583026476015,-0.926290240378794,2.5987562251315
"ALEXFIORD","ALEXFIORD_PAPRAD_green_up","Sea-Ice",-0.258620523440425,-1.98058275017175,1.46537816074863
"ALEXFIORD","ALEXFIORD_SALARC_flowering","Sea-Ice",-0.634069807570495,-2.42472369097285,1.12492314655678
"BARROW","BARROW_CASTET_green_up","Sea-Ice",-0.709845316052056,-2.95980322643756,1.41795701674254
"BARROW","BARROW_DUPFIS_green_up","Sea-Ice",1.19439072271139,-0.897817695917691,3.41679721803791
"BARROW","BARROW_LUZARC_flowering","Sea-Ice",-0.0480029302808391,-2.08533629409347,1.99985644798685
"BARROW","BARROW_LUZARC_green_up","Sea-Ice",0.251914512536406,-1.74972828482759,2.28234473896753
"BARROW","BARROW_POAARC_green_up","Sea-Ice",-1.40920276896679,-3.53511467144076,0.586992757364341
"BARROW","BARROW_SALROT_flowering","Sea-Ice",1.05394492035909,-1.04668739827943,3.28731835179998
"BARROW","BARROW_SALROT_green_up","Sea-Ice",-0.660405185976501,-2.80842124761128,1.40834870362941
"QHI","QHI_DRYINT_flowering","Sea-Ice",0.0233889544843242,-2.07932443260895,2.14604846959684
"QHI","QHI_ERIVAG_flowering","Sea-Ice",0.00907420955199865,-1.98431181671776,2.01707808552853
"QHI","QHI_SALARC_green_up","Sea-Ice",-0.0731261838977128,-2.0378404790642,1.89539634264261
"ZACKENBERG","ZACKENBERG_CASTET_flowering","Sea-Ice",-0.023225217425543,-1.87595834593321,1.82605900460376
"ZACKENBERG","ZACKENBERG_DRYOCT_flowering","Sea-Ice",-0.375046140012814,-2.22879201173991,1.4521147807467
"ZACKENBERG","ZACKENBERG_PAPRAD_flowering","Sea-Ice",-0.419271965758035,-2.36735155984898,1.48496977790174
"ZACKENBERG","ZACKENBERG_SALARC_flowering","Sea-Ice",0.00245310467841119,-1.81390792388332,1.8046191127779
"ZACKENBERG","ZACKENBERG_SAXOPP_flowering","Sea-Ice",0.253680727057021,-1.8406584142379,2.39164469448545
"ZACKENBERG","ZACKENBERG_SILACA_flowering","Sea-Ice",0.3921684786158,-1.50239586501003,2.31600883847688
