"","site_spp_phen","min_year","max_year","length","nyear"
"1","ALEXFIORD_DRYINT_flowering",1993,2013,21,15
"2","ALEXFIORD_DRYINT_green_up",1993,2013,21,14
"3","ALEXFIORD_LUZSPP_flowering",1992,2003,12,10
"4","ALEXFIORD_OXYDIG_flowering",1992,2013,22,18
"5","ALEXFIORD_OXYDIG_green_up",1992,2013,22,18
"6","ALEXFIORD_PAPRAD_flowering",1992,2013,22,18
"7","ALEXFIORD_PAPRAD_green_up",1992,2013,22,18
"8","ALEXFIORD_SALARC_flowering",1995,2013,19,14
"9","BARROW_CASTET_green_up",1997,2014,18,12
"10","BARROW_DUPFIS_green_up",1995,2014,20,14
"11","BARROW_LUZARC_flowering",1994,2014,21,14
"12","BARROW_LUZARC_green_up",1994,2014,21,14
"13","BARROW_POAARC_green_up",1994,2014,21,15
"14","BARROW_SALROT_flowering",1994,2014,21,15
"15","BARROW_SALROT_green_up",1994,2014,21,15
"16","QHI_DRYINT_flowering",2001,2016,16,16
"17","QHI_ERIVAG_flowering",2002,2016,15,15
"18","QHI_SALARC_green_up",2001,2016,16,16
"19","ZACKENBERG_CASTET_flowering",1996,2011,16,16
"20","ZACKENBERG_DRYOCT_flowering",1996,2011,16,16
"21","ZACKENBERG_PAPRAD_flowering",1996,2011,16,16
"22","ZACKENBERG_SALARC_flowering",1996,2011,16,16
"23","ZACKENBERG_SAXOPP_flowering",1996,2011,16,16
"24","ZACKENBERG_SILACA_flowering",1996,2011,16,16
