"site_name","site_spp_phen","predictor","effect_size","lower","upper"
"ALEXFIORD","ALEXFIORD_DRYINT_flowering","Snowmelt",3.5579579431484,1.8091903980701,5.33562999778604
"ALEXFIORD","ALEXFIORD_DRYINT_green_up","Snowmelt",3.51289862554313,1.78920043138262,5.26975777853974
"ALEXFIORD","ALEXFIORD_LUZSPP_flowering","Snowmelt",4.02949949923084,1.99105764621985,6.0981387231575
"ALEXFIORD","ALEXFIORD_OXYDIG_flowering","Snowmelt",2.38136884838691,0.550548140080459,4.22361478254369
"ALEXFIORD","ALEXFIORD_OXYDIG_green_up","Snowmelt",3.9453623492497,2.15164400537702,5.7733480570153
"ALEXFIORD","ALEXFIORD_PAPRAD_flowering","Snowmelt",1.91909491406846,0.128860501662858,3.73203315503371
"ALEXFIORD","ALEXFIORD_PAPRAD_green_up","Snowmelt",2.44799604369534,0.697594741399638,4.22735575517328
"ALEXFIORD","ALEXFIORD_SALARC_flowering","Snowmelt",3.09377257012041,1.28676757990586,4.9271151398392
"BARROW","BARROW_CASTET_green_up","Snowmelt",3.01107654911849,1.13179626539229,4.91050141072954
"BARROW","BARROW_DUPFIS_green_up","Snowmelt",2.48478359676145,0.625413983276099,4.3292199568727
"BARROW","BARROW_LUZARC_flowering","Snowmelt",4.24917669069325,2.43152043997843,6.08772872987071
"BARROW","BARROW_LUZARC_green_up","Snowmelt",2.96079129754361,1.14317444683717,4.78719538745256
"BARROW","BARROW_POAARC_green_up","Snowmelt",1.15301524330002,-0.649993996795726,2.94297397282632
"BARROW","BARROW_SALROT_flowering","Snowmelt",4.55141976690876,2.78061989281699,6.33546035034066
"BARROW","BARROW_SALROT_green_up","Snowmelt",3.58290259270603,1.76836075104707,5.40726669136508
"QHI","QHI_DRYINT_flowering","Snowmelt",0.494995392190754,-1.54317968267708,2.49823062946757
"QHI","QHI_ERIVAG_flowering","Snowmelt",5.49370553629888,3.44776570044376,7.56604090371495
"QHI","QHI_SALARC_green_up","Snowmelt",2.70973933411765,0.785382537238357,4.62487671040454
"ZACKENBERG","ZACKENBERG_CASTET_flowering","Snowmelt",3.25000413459101,1.57212189303606,4.91528199261815
"ZACKENBERG","ZACKENBERG_DRYOCT_flowering","Snowmelt",2.87828479058957,1.13781509714715,4.60409575447325
"ZACKENBERG","ZACKENBERG_PAPRAD_flowering","Snowmelt",3.40460439911268,1.62689945299962,5.17169533528375
"ZACKENBERG","ZACKENBERG_SALARC_flowering","Snowmelt",3.13591518384137,1.46921541590834,4.7826026432073
"ZACKENBERG","ZACKENBERG_SAXOPP_flowering","Snowmelt",1.88023562177563,-0.00319691543498912,3.73533048392186
"ZACKENBERG","ZACKENBERG_SILACA_flowering","Snowmelt",1.6953229035536,-0.0845001483554548,3.45007228530456
"ALEXFIORD","ALEXFIORD_DRYINT_flowering","Temperature",-3.92448091826832,-5.30582426770409,-2.58158723434333
"ALEXFIORD","ALEXFIORD_DRYINT_green_up","Temperature",-3.95255783101938,-5.32952472298744,-2.61244586860246
"ALEXFIORD","ALEXFIORD_LUZSPP_flowering","Temperature",-3.77643283169182,-5.86338467908892,-1.74662259706232
"ALEXFIORD","ALEXFIORD_OXYDIG_flowering","Temperature",-3.30520333056148,-4.78386003079468,-1.85637518813692
"ALEXFIORD","ALEXFIORD_OXYDIG_green_up","Temperature",-2.54052845586579,-3.97806159055688,-1.13926651903677
"ALEXFIORD","ALEXFIORD_PAPRAD_flowering","Temperature",-5.61642817174081,-7.0605724442537,-4.21171889241269
"ALEXFIORD","ALEXFIORD_PAPRAD_green_up","Temperature",-4.43283999333634,-5.8460727020539,-3.06068027654064
"ALEXFIORD","ALEXFIORD_SALARC_flowering","Temperature",-1.99811740869979,-3.4699287493733,-0.554344359804291
"BARROW","BARROW_CASTET_green_up","Temperature",-1.49852665954697,-3.06504002360915,0.0776475053229038
"BARROW","BARROW_DUPFIS_green_up","Temperature",-2.37882804227571,-3.91752604278291,-0.854207538202966
"BARROW","BARROW_LUZARC_flowering","Temperature",-1.27767921737279,-2.7508075889075,0.208064747064808
"BARROW","BARROW_LUZARC_green_up","Temperature",-1.26988228734378,-2.70774965386307,0.187021694611765
"BARROW","BARROW_POAARC_green_up","Temperature",-2.31318093866486,-3.73079275013794,-0.888257690432699
"BARROW","BARROW_SALROT_flowering","Temperature",-0.78429941113737,-2.19968930446111,0.653385608615122
"BARROW","BARROW_SALROT_green_up","Temperature",-1.56994650090562,-3.01821802113383,-0.104181566332163
"QHI","QHI_DRYINT_flowering","Temperature",-0.922411790991968,-2.39407067603501,0.559166168666934
"QHI","QHI_ERIVAG_flowering","Temperature",-0.152370017082843,-1.54253767483553,1.24724259572095
"QHI","QHI_SALARC_green_up","Temperature",-2.92273063105231,-4.35797988500205,-1.48168164208605
"ZACKENBERG","ZACKENBERG_CASTET_flowering","Temperature",-2.60366715772476,-4.35304315730717,-0.860793716188982
