"site_name","site_spp_phen","predictor","effect_size","lower","upper"
"ALEXFIORD","ALEXFIORD_DRYINT_flowering","Snowmelt",4.24134746437099,2.82374271160408,5.67377169311933
"ALEXFIORD","ALEXFIORD_DRYINT_green_up","Snowmelt",4.33791359520409,2.93727647172007,5.74926785919151
"ALEXFIORD","ALEXFIORD_LUZSPP_flowering","Snowmelt",3.82561570167255,1.86932998748021,5.79125406119889
"ALEXFIORD","ALEXFIORD_OXYDIG_flowering","Snowmelt",2.54876132285648,0.958129804599741,4.13900373517214
"ALEXFIORD","ALEXFIORD_OXYDIG_green_up","Snowmelt",4.12274243027012,2.5843585922837,5.67586379070759
"ALEXFIORD","ALEXFIORD_PAPRAD_flowering","Snowmelt",2.64185524130013,1.16773301721503,4.11797100887488
"ALEXFIORD","ALEXFIORD_PAPRAD_green_up","Snowmelt",2.81789031387997,1.39684115717129,4.24321326141391
"ALEXFIORD","ALEXFIORD_SALARC_flowering","Snowmelt",3.38469697517669,1.76063418876236,5.0144876967522
"BARROW","BARROW_CASTET_green_up","Snowmelt",2.78282336326696,1.08849417340666,4.4836697639512
"BARROW","BARROW_DUPFIS_green_up","Snowmelt",4.1432352979011,2.27121575183231,6.03808146218892
"BARROW","BARROW_LUZARC_flowering","Snowmelt",2.85528727130996,1.39144004902645,4.32850302809043
"BARROW","BARROW_LUZARC_green_up","Snowmelt",2.95096638439887,1.50029483894662,4.41535476145035
"BARROW","BARROW_POAARC_green_up","Snowmelt",3.52932276931592,2.07048582121074,5.00394446192095
"BARROW","BARROW_SALROT_flowering","Snowmelt",4.05617784565324,2.54032525306466,5.58469522975682
"BARROW","BARROW_SALROT_green_up","Snowmelt",5.04325404985228,3.54194679969517,6.57271673360964
"QHI","QHI_DRYINT_flowering","Snowmelt",-0.349722513495983,-1.83877502197256,1.10841814116251
"QHI","QHI_ERIVAG_flowering","Snowmelt",4.15066635208747,2.59940160199857,5.7110681285955
"QHI","QHI_SALARC_green_up","Snowmelt",2.42955141362538,0.860068077571036,3.98177792715067
"ZACKENBERG","ZACKENBERG_CASTET_flowering","Snowmelt",3.78659326115126,2.16260487429208,5.41037704241336
"ZACKENBERG","ZACKENBERG_DRYOCT_flowering","Snowmelt",3.33085505772311,1.62564417470748,5.03026583706546
"ZACKENBERG","ZACKENBERG_PAPRAD_flowering","Snowmelt",3.90812924810324,2.1343303543443,5.68966254382988
"ZACKENBERG","ZACKENBERG_SALARC_flowering","Snowmelt",3.60681219439293,1.99893423440024,5.21059946995967
"ZACKENBERG","ZACKENBERG_SAXOPP_flowering","Snowmelt",2.16269012449804,0.238816345885115,4.05431218178455
"ZACKENBERG","ZACKENBERG_SILACA_flowering","Snowmelt",2.00749665571014,0.223636925616777,3.7620966497789
"ALEXFIORD","ALEXFIORD_DRYINT_flowering","Temperature",-3.99286036900505,-5.79222034352507,-2.25605854503051
"ALEXFIORD","ALEXFIORD_DRYINT_green_up","Temperature",-3.98047161530289,-5.78484508242918,-2.24692396734448
"ALEXFIORD","ALEXFIORD_LUZSPP_flowering","Temperature",-5.09163926347515,-7.64775090761015,-2.63583595498474
"ALEXFIORD","ALEXFIORD_OXYDIG_flowering","Temperature",-3.31904274654267,-5.22811408249653,-1.46755265676437
