"site_name","species","genus","phen_stage","colour"
"ALEXFIORD","integrifolia","Dryas","flowering","#19262E"
"ALEXFIORD","integrifolia","Dryas","green_up","#283D49"
"ALEXFIORD","spp.","Luzula","flowering","#375565"
"ALEXFIORD","digyna","Oxyria","flowering","#466C82"
"ALEXFIORD","digyna","Oxyria","green_up","#56849D"
"ALEXFIORD","radicatum","Papaver","flowering","#659BB9"
"ALEXFIORD","radicatum","Papaver","green_up","#74B3D5"
"ALEXFIORD","arctica","Salix","flowering","#84CBF2"
"BARROW","tetragona","Cassiope","green_up","#112B26"
"BARROW","psilosantha","Dupontia","green_up","#1D4A41"
"BARROW","arctica","Luzula","flowering","#296A5D"
"BARROW","arctica","Luzula","green_up","#368979"
"BARROW","arctica","Poa","green_up","#42A995"
"BARROW","rotundifolia","Salix","flowering","#4EC8B1"
"BARROW","rotundifolia","Salix","green_up","#5BE8CD"
"QHI","integrifolia","Dryas","flowering","#382F12"
"QHI","vaginatum","Eriophorum","flowering","#7D6928"
"QHI","arctica","Salix","green_up","#C2A33E"
"ZACKENBERG","tetragona","Cassiope","flowering","#422413"
"ZACKENBERG","octopetala","Dryas","flowering","#67381D"
"ZACKENBERG","radicatum","Papaver","flowering","#8D4C28"
"ZACKENBERG","arctica","Salix","flowering","#B36132"
"ZACKENBERG","oppositifolia","Saxifraga","flowering","#D9753D"
"ZACKENBERG","acaulis","Silene","flowering","#FF8A48"
