"site_name","spp","phen_stage","site_spp_phen","spp_phen","plot_id","year","year_fac","doy","prior_visit","snowmelt","phase_temp","phase_temp_unmodified","site_phase_temp","site_phase_temp_unmodified","spring_temp","apr_temp","may_temp","jun_temp","onset_ice_melt","spring_extent","phase_extent","phase_extent_unmodified"
"ALEXFIORD","SALARC","flowering","ALEXFIORD_SALARC_flowering","SALARC_flowering","Dom.c.10d",1995,"1995",192,190,NA,1.4,3.9,1.5,4,1.6,-16.6,-6.1,3.9,236,79.7,75.8,69.7
"ALEXFIORD","SALARC","flowering","ALEXFIORD_SALARC_flowering","SALARC_flowering","Dom.c.11d",1995,"1995",192,190,NA,1.4,3.9,1.5,4,1.6,-16.6,-6.1,3.9,236,79.7,75.8,69.7
"ALEXFIORD","SALARC","flowering","ALEXFIORD_SALARC_flowering","SALARC_flowering","Dom.c.1d",1995,"1995",192,190,NA,1.4,3.9,1.5,4,1.6,-16.6,-6.1,3.9,236,79.7,75.8,69.7
"ALEXFIORD","SALARC","flowering","ALEXFIORD_SALARC_flowering","SALARC_flowering","Dom.c.1d",1995,"1995",192,190,NA,1.4,3.9,1.5,4,1.6,-16.6,-6.1,3.9,236,79.7,75.8,69.7
"ALEXFIORD","SALARC","flowering","ALEXFIORD_SALARC_flowering","SALARC_flowering","Dom.c.3d",1995,"1995",192,190,NA,1.4,3.9,1.5,4,1.6,-16.6,-6.1,3.9,236,79.7,75.8,69.7
"ALEXFIORD","SALARC","flowering","ALEXFIORD_SALARC_flowering","SALARC_flowering","Dom.c.5d",1995,"1995",192,190,NA,1.4,3.9,1.5,4,1.6,-16.6,-6.1,3.9,236,79.7,75.8,69.7
"ALEXFIORD","SALARC","flowering","ALEXFIORD_SALARC_flowering","SALARC_flowering","Dom.c.4d",1995,"1995",199,197,NA,1.4,3.9,1.5,4,1.6,-16.6,-6.1,3.9,236,79.7,75.8,69.7
"ALEXFIORD","SALARC","flowering","ALEXFIORD_SALARC_flowering","SALARC_flowering","Dom.c.11d",1997,"1997",195,193,NA,1.3,3.7,1.5,3.9,1.1,-20,-6.3,3.9,167,66.5,79.6,71.9
"ALEXFIORD","SALARC","flowering","ALEXFIORD_SALARC_flowering","SALARC_flowering","Dom.c.3d",1998,"1998",179,178,NA,2.3,5,2.6,5.2,1.8,-19.6,-6.9,4.9,137,41.8,35.9,32
"ALEXFIORD","SALARC","flowering","ALEXFIORD_SALARC_flowering","SALARC_flowering","Dom.c.1d",1998,"1998",182,180,NA,2.3,5,2.6,5.2,1.8,-19.6,-6.9,4.9,137,41.8,35.9,32
"ALEXFIORD","SALARC","flowering","ALEXFIORD_SALARC_flowering","SALARC_flowering","Dom.c.2d",1998,"1998",182,180,NA,2.3,5,2.6,5.2,1.8,-19.6,-6.9,4.9,137,41.8,35.9,32
"ALEXFIORD","SALARC","flowering","ALEXFIORD_SALARC_flowering","SALARC_flowering","Dom.c.6d",2000,"2000",182,181,NA,1.2,3.9,1.5,4.1,1.4,-20.4,-7.8,4.3,153,47.2,49.3,29.5
"ALEXFIORD","SALARC","flowering","ALEXFIORD_SALARC_flowering","SALARC_flowering","Dom.c.3d",2001,"2001",196,195,NA,1,3.5,1.1,3.5,0.7,-21,-8.4,3.7,146,53.2,57.5,46.3
"ALEXFIORD","SALARC","flowering","ALEXFIORD_SALARC_flowering","SALARC_flowering","Dom.c.6d",2001,"2001",196,195,NA,1,3.5,1.1,3.5,0.7,-21,-8.4,3.7,146,53.2,57.5,46.3
"ALEXFIORD","SALARC","flowering","ALEXFIORD_SALARC_flowering","SALARC_flowering","Dom.c.1d",2001,"2001",202,201,NA,1,3.5,1.1,3.5,0.7,-21,-8.4,3.7,146,53.2,57.5,46.3
"ALEXFIORD","SALARC","flowering","ALEXFIORD_SALARC_flowering","SALARC_flowering","Dom.c.3d",2001,"2001",202,201,NA,1,3.5,1.1,3.5,0.7,-21,-8.4,3.7,146,53.2,57.5,46.3
"ALEXFIORD","SALARC","flowering","ALEXFIORD_SALARC_flowering","SALARC_flowering","Dom.c.2d",2002,"2002",206,205,NA,1.4,4,1.7,4.2,1.1,-22.5,-6.2,4,146,37.3,31.6,16.1
"ALEXFIORD","SALARC","flowering","ALEXFIORD_SALARC_flowering","SALARC_flowering","Dom.c.9d",2003,"2003",181,179,NA,2,4.1,2.3,4.4,1.7,-21.9,-6.5,4.1,146,50.9,50.1,36.8
"ALEXFIORD","SALARC","flowering","ALEXFIORD_SALARC_flowering","SALARC_flowering","Dom.c.3d",2003,"2003",187,186,NA,2,4.1,2.3,4.4,1.7,-21.9,-6.5,4.1,146,50.9,50.1,36.8
"ALEXFIORD","SALARC","flowering","ALEXFIORD_SALARC_flowering","SALARC_flowering","Dom.c.11d",2004,"2004",203,202,NA,0.9,2.8,1,2.9,0.8,-21,-6,3.2,137,31.7,24.9,17.7
"ALEXFIORD","SALARC","flowering","ALEXFIORD_SALARC_flowering","SALARC_flowering","Dom.c.1d",2004,"2004",203,202,NA,0.9,2.8,1,2.9,0.8,-21,-6,3.2,137,31.7,24.9,17.7
"ALEXFIORD","SALARC","flowering","ALEXFIORD_SALARC_flowering","SALARC_flowering","Dom.c.6d",2004,"2004",203,202,NA,0.9,2.8,1,2.9,0.8,-21,-6,3.2,137,31.7,24.9,17.7
"ALEXFIORD","SALARC","flowering","ALEXFIORD_SALARC_flowering","SALARC_flowering","Dom.c.9d",2004,"2004",203,202,NA,0.9,2.8,1,2.9,0.8,-21,-6,3.2,137,31.7,24.9,17.7
"ALEXFIORD","SALARC","flowering","ALEXFIORD_SALARC_flowering","SALARC_flowering","Dom.c.2d",2004,"2004",216,205,NA,0.9,2.8,1,2.9,0.8,-21,-6,3.2,137,31.7,24.9,17.7
"ALEXFIORD","SALARC","flowering","ALEXFIORD_SALARC_flowering","SALARC_flowering","Dom.c.1d",2007,"2007",183,181,NA,0.8,3.8,1,3.9,1.3,-18.3,-8.1,4,181,78.4,88.6,84.7
"ALEXFIORD","SALARC","flowering","ALEXFIORD_SALARC_flowering","SALARC_flowering","Dom.c.1d",2007,"2007",183,181,NA,0.8,3.8,1,3.9,1.3,-18.3,-8.1,4,181,78.4,88.6,84.7
"ALEXFIORD","SALARC","flowering","ALEXFIORD_SALARC_flowering","SALARC_flowering","Dom.c.2d",2007,"2007",183,181,NA,0.8,3.8,1,3.9,1.3,-18.3,-8.1,4,181,78.4,88.6,84.7
"ALEXFIORD","SALARC","flowering","ALEXFIORD_SALARC_flowering","SALARC_flowering","Dom.c.4d",2007,"2007",183,181,NA,0.8,3.8,1,3.9,1.3,-18.3,-8.1,4,181,78.4,88.6,84.7
"ALEXFIORD","SALARC","flowering","ALEXFIORD_SALARC_flowering","SALARC_flowering","Dom.c.6d",2007,"2007",183,181,NA,0.8,3.8,1,3.9,1.3,-18.3,-8.1,4,181,78.4,88.6,84.7
"ALEXFIORD","SALARC","flowering","ALEXFIORD_SALARC_flowering","SALARC_flowering","Dom.c.9d",2007,"2007",183,181,NA,0.8,3.8,1,3.9,1.3,-18.3,-8.1,4,181,78.4,88.6,84.7
