"site_name","spp","phen_stage","site_spp_phen","spp_phen","plot_id","year","doy","prior_visit","snowmelt"
"ALEXFIORD","SALARC","flowering","ALEXFIORD_SALARC_flowering","SALARC_flowering","Dom.c.10d",1995,192,190,NA
"ALEXFIORD","SALARC","flowering","ALEXFIORD_SALARC_flowering","SALARC_flowering","Dom.c.11d",1995,192,190,NA
"ALEXFIORD","SALARC","flowering","ALEXFIORD_SALARC_flowering","SALARC_flowering","Dom.c.1d",1995,192,190,NA
"ALEXFIORD","SALARC","flowering","ALEXFIORD_SALARC_flowering","SALARC_flowering","Dom.c.1d",1995,192,190,NA
"ALEXFIORD","SALARC","flowering","ALEXFIORD_SALARC_flowering","SALARC_flowering","Dom.c.3d",1995,192,190,NA
"ALEXFIORD","SALARC","flowering","ALEXFIORD_SALARC_flowering","SALARC_flowering","Dom.c.5d",1995,192,190,NA
"ALEXFIORD","SALARC","flowering","ALEXFIORD_SALARC_flowering","SALARC_flowering","Dom.c.4d",1995,199,197,NA
"ALEXFIORD","SALARC","flowering","ALEXFIORD_SALARC_flowering","SALARC_flowering","Dom.c.11d",1997,195,193,NA
"ALEXFIORD","SALARC","flowering","ALEXFIORD_SALARC_flowering","SALARC_flowering","Dom.c.3d",1998,179,178,NA
"ALEXFIORD","SALARC","flowering","ALEXFIORD_SALARC_flowering","SALARC_flowering","Dom.c.1d",1998,182,180,NA
"ALEXFIORD","SALARC","flowering","ALEXFIORD_SALARC_flowering","SALARC_flowering","Dom.c.2d",1998,182,180,NA
"ALEXFIORD","SALARC","flowering","ALEXFIORD_SALARC_flowering","SALARC_flowering","Dom.c.6d",2000,182,181,NA
"ALEXFIORD","SALARC","flowering","ALEXFIORD_SALARC_flowering","SALARC_flowering","Dom.c.3d",2001,196,195,NA
"ALEXFIORD","SALARC","flowering","ALEXFIORD_SALARC_flowering","SALARC_flowering","Dom.c.6d",2001,196,195,NA
"ALEXFIORD","SALARC","flowering","ALEXFIORD_SALARC_flowering","SALARC_flowering","Dom.c.1d",2001,202,201,NA
"ALEXFIORD","SALARC","flowering","ALEXFIORD_SALARC_flowering","SALARC_flowering","Dom.c.3d",2001,202,201,NA
"ALEXFIORD","SALARC","flowering","ALEXFIORD_SALARC_flowering","SALARC_flowering","Dom.c.2d",2002,206,205,NA
