"site_name","spp","phen_stage","site_spp_phen","spp_phen","plot_id","year","doy","prior_visit","snowmelt"
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_1",2017,NA,NA,141
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_2",2017,141,139,141
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_3",2017,138,137,138
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_4",2017,NA,NA,138
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_5",2017,NA,NA,138
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_6",2017,138,137,138
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_7",2017,138,137,135
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_8",2017,138,137,138
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_9",2017,NA,NA,138
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_10",2017,141,139,138
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_11",2017,138,137,138
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_12",2017,NA,NA,141
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_13",2017,138,137,138
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_14",2017,141,139,138
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_15",2017,138,137,138
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_16",2017,138,137,138
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_17",2017,141,139,141
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_18",2017,138,137,138
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_19",2017,138,137,138
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_20",2017,138,137,138
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_1",2016,142,138,142
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_2",2016,138,135,135
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_3",2016,135,125,135
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_4",2016,135,125,135
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_5",2016,135,125,135
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_6",2016,135,125,135
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_7",2016,135,125,135
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_8",2016,135,125,135
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_9",2016,186,156,135
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_10",2016,138,135,135
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_11",2016,135,125,135
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_12",2016,186,156,142
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_13",2016,138,135,138
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_14",2016,138,135,135
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_15",2016,144,142,135
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_16",2016,138,135,135
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_17",2016,135,125,135
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_18",2016,142,138,135
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_19",2016,135,125,135
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_20",2016,135,125,135
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_1",2015,NA,NA,137
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_2",2015,NA,NA,137
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_3",2015,137,127,137
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_4",2015,NA,NA,137
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_5",2015,137,127,137
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_6",2015,137,127,137
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_7",2015,137,127,137
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_8",2015,137,127,137
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_9",2015,137,127,137
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_10",2015,137,127,137
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_11",2015,137,127,137
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_12",2015,137,127,137
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_13",2015,137,127,137
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_14",2015,137,127,137
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_15",2015,137,127,137
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_16",2015,137,127,137
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_17",2015,137,127,137
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_18",2015,137,127,137
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_19",2015,137,127,137
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_20",2015,NA,NA,137
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_1",2014,156,153,147
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_2",2014,125,123,135
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_3",2014,135,132,132
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_4",2014,135,132,132
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_5",2014,135,132,126
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_6",2014,135,132,126
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_7",2014,135,132,126
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_8",2014,135,132,126
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_9",2014,135,132,126
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_10",2014,135,132,126
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_11",2014,135,132,126
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_12",2014,135,132,132
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_13",2014,135,132,132
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_14",2014,135,132,126
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_15",2014,135,132,126
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_16",2014,135,132,126
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_17",2014,135,132,132
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_18",2014,135,132,126
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_19",2014,135,132,126
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_20",2014,135,132,126
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_1",2013,148,147,148
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_2",2013,148,147,148
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_3",2013,148,147,148
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_4",2013,148,147,145
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_5",2013,148,147,145
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_6",2013,148,147,142
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_7",2013,148,147,145
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_8",2013,148,147,148
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_9",2013,NA,NA,148
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_10",2013,148,147,145
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_11",2013,148,147,142
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_12",2013,148,147,145
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_13",2013,148,147,148
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_14",2013,148,147,145
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_15",2013,148,147,145
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_16",2013,148,147,145
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_17",2013,NA,NA,142
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_18",2013,148,147,145
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_19",2013,148,147,142
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_20",2013,148,147,142
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_1",2012,NA,NA,NA
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_2",2012,144,141,144
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_3",2012,141,138,141
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_4",2012,144,141,144
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_5",2012,141,138,141
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_6",2012,141,138,141
"QHI","ERIVAG","flowering","QHI_ERIVAG_flowering","ERIVAG_flowering","ERIVAG_7",2012,141,138,141
