site_name,PLOT,year,spp,phenophase,day,June_at,July_at
ZACKENBERG,Sax1,1996,SAXOPP,Flower,161,1.900833333,5.843682796
ZACKENBERG,Sax2,1996,SAXOPP,Flower,155,1.900833333,5.843682796
ZACKENBERG,Sax3,1996,SAXOPP,Flower,161,1.900833333,5.843682796
ZACKENBERG,Sal1,1996,SALARC,Flower,155,1.900833333,5.843682796
ZACKENBERG,Sal2,1996,SALARC,Flower,168,1.900833333,5.843682796
ZACKENBERG,Sal3,1996,SALARC,Flower,168,1.900833333,5.843682796
ZACKENBERG,Sal4,1996,SALARC,Flower,182,1.900833333,5.843682796
ZACKENBERG,Sil1,1996,SILACA,Flower,168,1.900833333,5.843682796
ZACKENBERG,Sil2,1996,SILACA,Flower,168,1.900833333,5.843682796
ZACKENBERG,Sil3,1996,SILACA,Flower,176,1.900833333,5.843682796
ZACKENBERG,Sil4,1996,SILACA,Flower,203,1.900833333,5.843682796
ZACKENBERG,Dry1,1996,DRYOCT,Flower,168,1.900833333,5.843682796
ZACKENBERG,Dry2,1996,DRYOCT,Flower,203,1.900833333,5.843682796
ZACKENBERG,Dry3,1996,DRYOCT,Flower,182,1.900833333,5.843682796
ZACKENBERG,Dry4,1996,DRYOCT,Flower,168,1.900833333,5.843682796
ZACKENBERG,Dry5,1996,DRYOCT,Flower,175,1.900833333,5.843682796
ZACKENBERG,Dry6,1996,DRYOCT,Flower,196,1.900833333,5.843682796
ZACKENBERG,Cas1,1996,CASTET,Flower,175,1.900833333,5.843682796
ZACKENBERG,Cas2,1996,CASTET,Flower,182,1.900833333,5.843682796
ZACKENBERG,Cas3,1996,CASTET,Flower,189,1.900833333,5.843682796
ZACKENBERG,Cas4,1996,CASTET,Flower,189,1.900833333,5.843682796
ZACKENBERG,Pap1,1996,PAPRAD,Flower,189,1.900833333,5.843682796
ZACKENBERG,Pap2,1996,PAPRAD,Flower,196,1.900833333,5.843682796
ZACKENBERG,Pap3,1996,PAPRAD,Flower,196,1.900833333,5.843682796
ZACKENBERG,Pap4,1996,PAPRAD,Flower,196,1.900833333,5.843682796
ZACKENBERG,Sax1,1997,SAXOPP,Flower,147,2.236574746,3.725134409
ZACKENBERG,Sax2,1997,SAXOPP,Flower,154,2.236574746,3.725134409
ZACKENBERG,Sax3,1997,SAXOPP,Flower,147,2.236574746,3.725134409
ZACKENBERG,Sal1,1997,SALARC,Flower,154,2.236574746,3.725134409
ZACKENBERG,Sal2,1997,SALARC,Flower,182,2.236574746,3.725134409
ZACKENBERG,Sal3,1997,SALARC,Flower,175,2.236574746,3.725134409
ZACKENBERG,Sal4,1997,SALARC,Flower,168,2.236574746,3.725134409
ZACKENBERG,Sil1,1997,SILACA,Flower,168,2.236574746,3.725134409
ZACKENBERG,Sil2,1997,SILACA,Flower,168,2.236574746,3.725134409
ZACKENBERG,Sil3,1997,SILACA,Flower,168,2.236574746,3.725134409
ZACKENBERG,Sil4,1997,SILACA,Flower,210,2.236574746,3.725134409
ZACKENBERG,Dry1,1997,DRYOCT,Flower,168,2.236574746,3.725134409
ZACKENBERG,Dry2,1997,DRYOCT,Flower,210,2.236574746,3.725134409
ZACKENBERG,Dry3,1997,DRYOCT,Flower,168,2.236574746,3.725134409
ZACKENBERG,Dry4,1997,DRYOCT,Flower,182,2.236574746,3.725134409
ZACKENBERG,Dry5,1997,DRYOCT,Flower,182,2.236574746,3.725134409
ZACKENBERG,Dry6,1997,DRYOCT,Flower,217,2.236574746,3.725134409
ZACKENBERG,Cas1,1997,CASTET,Flower,182,2.236574746,3.725134409
ZACKENBERG,Cas2,1997,CASTET,Flower,196,2.236574746,3.725134409
ZACKENBERG,Cas3,1997,CASTET,Flower,196,2.236574746,3.725134409
ZACKENBERG,Cas4,1997,CASTET,Flower,196,2.236574746,3.725134409
ZACKENBERG,Cas6,1997,CASTET,Flower,205,2.236574746,3.725134409
ZACKENBERG,Pap1,1997,PAPRAD,Flower,196,2.236574746,3.725134409
ZACKENBERG,Pap2,1997,PAPRAD,Flower,189,2.236574746,3.725134409
ZACKENBERG,Pap3,1997,PAPRAD,Flower,196,2.236574746,3.725134409
ZACKENBERG,Pap4,1997,PAPRAD,Flower,210,2.236574746,3.725134409
ZACKENBERG,Sax1,1998,SAXOPP,Flower,154,0.903611111,4.680972222
ZACKENBERG,Sax2,1998,SAXOPP,Flower,161,0.903611111,4.680972222
ZACKENBERG,Sax3,1998,SAXOPP,Flower,161,0.903611111,4.680972222
ZACKENBERG,Sal1,1998,SALARC,Flower,161,0.903611111,4.680972222
ZACKENBERG,Sal2,1998,SALARC,Flower,189,0.903611111,4.680972222
ZACKENBERG,Sal3,1998,SALARC,Flower,182,0.903611111,4.680972222
ZACKENBERG,Sal4,1998,SALARC,Flower,182,0.903611111,4.680972222
ZACKENBERG,Sil1,1998,SILACA,Flower,175,0.903611111,4.680972222
ZACKENBERG,Sil2,1998,SILACA,Flower,182,0.903611111,4.680972222
ZACKENBERG,Sil3,1998,SILACA,Flower,175,0.903611111,4.680972222
ZACKENBERG,Sil4,1998,SILACA,Flower,224,0.903611111,4.680972222
ZACKENBERG,Dry1,1998,DRYOCT,Flower,175,0.903611111,4.680972222
ZACKENBERG,Dry2,1998,DRYOCT,Flower,217,0.903611111,4.680972222
ZACKENBERG,Dry3,1998,DRYOCT,Flower,189,0.903611111,4.680972222
ZACKENBERG,Dry4,1998,DRYOCT,Flower,189,0.903611111,4.680972222
ZACKENBERG,Dry5,1998,DRYOCT,Flower,182,0.903611111,4.680972222
ZACKENBERG,Dry6,1998,DRYOCT,Flower,217,0.903611111,4.680972222
ZACKENBERG,Dry7,1998,DRYOCT,Flower,179,0.903611111,4.680972222
ZACKENBERG,Dry8,1998,DRYOCT,Flower,172,0.903611111,4.680972222
ZACKENBERG,Cas1,1998,CASTET,Flower,189,0.903611111,4.680972222
ZACKENBERG,Cas2,1998,CASTET,Flower,203,0.903611111,4.680972222
ZACKENBERG,Cas3,1998,CASTET,Flower,203,0.903611111,4.680972222
ZACKENBERG,Cas4,1998,CASTET,Flower,203,0.903611111,4.680972222
ZACKENBERG,Cas5,1998,CASTET,Flower,201,0.903611111,4.680972222
ZACKENBERG,Cas6,1998,CASTET,Flower,212,0.903611111,4.680972222
ZACKENBERG,Pap1,1998,PAPRAD,Flower,203,0.903611111,4.680972222
ZACKENBERG,Pap2,1998,PAPRAD,Flower,203,0.903611111,4.680972222
ZACKENBERG,Pap3,1998,PAPRAD,Flower,196,0.903611111,4.680972222
ZACKENBERG,Pap4,1998,PAPRAD,Flower,224,0.903611111,4.680972222
ZACKENBERG,Sax1,1999,SAXOPP,Flower,154,1.533055556,6.219354839
ZACKENBERG,Sax2,1999,SAXOPP,Flower,161,1.533055556,6.219354839
ZACKENBERG,Sax3,1999,SAXOPP,Flower,161,1.533055556,6.219354839
ZACKENBERG,Sal1,1999,SALARC,Flower,168,1.533055556,6.219354839
ZACKENBERG,Sal2,1999,SALARC,Flower,189,1.533055556,6.219354839
ZACKENBERG,Sal3,1999,SALARC,Flower,189,1.533055556,6.219354839
ZACKENBERG,Sal4,1999,SALARC,Flower,182,1.533055556,6.219354839
ZACKENBERG,Sil1,1999,SILACA,Flower,175,1.533055556,6.219354839
ZACKENBERG,Sil2,1999,SILACA,Flower,175,1.533055556,6.219354839
ZACKENBERG,Sil3,1999,SILACA,Flower,182,1.533055556,6.219354839
ZACKENBERG,Sil4,1999,SILACA,Flower,224,1.533055556,6.219354839
ZACKENBERG,Dry1,1999,DRYOCT,Flower,182,1.533055556,6.219354839
ZACKENBERG,Dry2,1999,DRYOCT,Flower,224,1.533055556,6.219354839
ZACKENBERG,Dry3,1999,DRYOCT,Flower,189,1.533055556,6.219354839
ZACKENBERG,Dry4,1999,DRYOCT,Flower,196,1.533055556,6.219354839
ZACKENBERG,Dry5,1999,DRYOCT,Flower,189,1.533055556,6.219354839
ZACKENBERG,Dry6,1999,DRYOCT,Flower,224,1.533055556,6.219354839
ZACKENBERG,Dry7,1999,DRYOCT,Flower,198,1.533055556,6.219354839
ZACKENBERG,Dry8,1999,DRYOCT,Flower,198,1.533055556,6.219354839
ZACKENBERG,Cas1,1999,CASTET,Flower,196,1.533055556,6.219354839
ZACKENBERG,Cas2,1999,CASTET,Flower,210,1.533055556,6.219354839
ZACKENBERG,Cas3,1999,CASTET,Flower,210,1.533055556,6.219354839
ZACKENBERG,Cas4,1999,CASTET,Flower,210,1.533055556,6.219354839
ZACKENBERG,Cas5,1999,CASTET,Flower,198,1.533055556,6.219354839
ZACKENBERG,Pap1,1999,PAPRAD,Flower,210,1.533055556,6.219354839
ZACKENBERG,Pap2,1999,PAPRAD,Flower,210,1.533055556,6.219354839
ZACKENBERG,Pap3,1999,PAPRAD,Flower,210,1.533055556,6.219354839
ZACKENBERG,Pap4,1999,PAPRAD,Flower,224,1.533055556,6.219354839
ZACKENBERG,Sax1,2000,SAXOPP,Flower,154,1.947777778,5.309139785
ZACKENBERG,Sax2,2000,SAXOPP,Flower,161,1.947777778,5.309139785
ZACKENBERG,Sax3,2000,SAXOPP,Flower,161,1.947777778,5.309139785
ZACKENBERG,Sal1,2000,SALARC,Flower,161,1.947777778,5.309139785
ZACKENBERG,Sal2,2000,SALARC,Flower,182,1.947777778,5.309139785
ZACKENBERG,Sal3,2000,SALARC,Flower,161,1.947777778,5.309139785
ZACKENBERG,Sal4,2000,SALARC,Flower,168,1.947777778,5.309139785
ZACKENBERG,Sil1,2000,SILACA,Flower,175,1.947777778,5.309139785
ZACKENBERG,Sil2,2000,SILACA,Flower,182,1.947777778,5.309139785
ZACKENBERG,Sil3,2000,SILACA,Flower,175,1.947777778,5.309139785
ZACKENBERG,Sil4,2000,SILACA,Flower,203,1.947777778,5.309139785
ZACKENBERG,Dry1,2000,DRYOCT,Flower,175,1.947777778,5.309139785
ZACKENBERG,Dry2,2000,DRYOCT,Flower,195,1.947777778,5.309139785
ZACKENBERG,Dry3,2000,DRYOCT,Flower,175,1.947777778,5.309139785
ZACKENBERG,Dry4,2000,DRYOCT,Flower,175,1.947777778,5.309139785
ZACKENBERG,Dry5,2000,DRYOCT,Flower,175,1.947777778,5.309139785
ZACKENBERG,Dry6,2000,DRYOCT,Flower,195,1.947777778,5.309139785
ZACKENBERG,Cas1,2000,CASTET,Flower,182,1.947777778,5.309139785
ZACKENBERG,Cas2,2000,CASTET,Flower,195,1.947777778,5.309139785
ZACKENBERG,Cas4,2000,CASTET,Flower,217,1.947777778,5.309139785
ZACKENBERG,Cas5,2000,CASTET,Flower,183,1.947777778,5.309139785
ZACKENBERG,Pap1,2000,PAPRAD,Flower,182,1.947777778,5.309139785
ZACKENBERG,Pap2,2000,PAPRAD,Flower,189,1.947777778,5.309139785
ZACKENBERG,Pap3,2000,PAPRAD,Flower,189,1.947777778,5.309139785
ZACKENBERG,Pap4,2000,PAPRAD,Flower,203,1.947777778,5.309139785
ZACKENBERG,Sax1,2001,SAXOPP,Flower,154,2.05375,4.909408602
ZACKENBERG,Sax2,2001,SAXOPP,Flower,154,2.05375,4.909408602
ZACKENBERG,Sax3,2001,SAXOPP,Flower,162,2.05375,4.909408602
ZACKENBERG,Sal1,2001,SALARC,Flower,162,2.05375,4.909408602
ZACKENBERG,Sal2,2001,SALARC,Flower,182,2.05375,4.909408602
ZACKENBERG,Sal3,2001,SALARC,Flower,169,2.05375,4.909408602
ZACKENBERG,Sal4,2001,SALARC,Flower,175,2.05375,4.909408602
ZACKENBERG,Sil1,2001,SILACA,Flower,169,2.05375,4.909408602
ZACKENBERG,Sil2,2001,SILACA,Flower,175,2.05375,4.909408602
ZACKENBERG,Sil3,2001,SILACA,Flower,182,2.05375,4.909408602
ZACKENBERG,Sil4,2001,SILACA,Flower,210,2.05375,4.909408602
ZACKENBERG,Dry1,2001,DRYOCT,Flower,169,2.05375,4.909408602
ZACKENBERG,Dry2,2001,DRYOCT,Flower,210,2.05375,4.909408602
ZACKENBERG,Dry3,2001,DRYOCT,Flower,182,2.05375,4.909408602
ZACKENBERG,Dry4,2001,DRYOCT,Flower,182,2.05375,4.909408602
ZACKENBERG,Dry5,2001,DRYOCT,Flower,182,2.05375,4.909408602
ZACKENBERG,Dry6,2001,DRYOCT,Flower,203,2.05375,4.909408602
ZACKENBERG,Cas1,2001,CASTET,Flower,182,2.05375,4.909408602
ZACKENBERG,Cas2,2001,CASTET,Flower,189,2.05375,4.909408602
ZACKENBERG,Cas3,2001,CASTET,Flower,189,2.05375,4.909408602
ZACKENBERG,Cas4,2001,CASTET,Flower,189,2.05375,4.909408602
ZACKENBERG,Pap1,2001,PAPRAD,Flower,189,2.05375,4.909408602
ZACKENBERG,Pap2,2001,PAPRAD,Flower,196,2.05375,4.909408602
ZACKENBERG,Pap3,2001,PAPRAD,Flower,196,2.05375,4.909408602
