"site_name","spp","phen_stage","site_spp_phen","spp_phen","plot_id","year","doy","prior_visit","snowmelt"
"ZACKENBERG","SAXOPP","flowering","ZACKENBERG_SAXOPP_flowering","SAXOPP_flowering","Sax1",1996,161,155,168
"ZACKENBERG","SAXOPP","flowering","ZACKENBERG_SAXOPP_flowering","SAXOPP_flowering","Sax2",1996,155,136,168
"ZACKENBERG","SAXOPP","flowering","ZACKENBERG_SAXOPP_flowering","SAXOPP_flowering","Sax3",1996,161,155,168
"ZACKENBERG","SALARC","flowering","ZACKENBERG_SALARC_flowering","SALARC_flowering","Sal1",1996,155,136,168
"ZACKENBERG","SALARC","flowering","ZACKENBERG_SALARC_flowering","SALARC_flowering","Sal2",1996,168,161,168
"ZACKENBERG","SALARC","flowering","ZACKENBERG_SALARC_flowering","SALARC_flowering","Sal3",1996,168,161,168
"ZACKENBERG","SALARC","flowering","ZACKENBERG_SALARC_flowering","SALARC_flowering","Sal4",1996,182,176,168
"ZACKENBERG","SILACA","flowering","ZACKENBERG_SILACA_flowering","SILACA_flowering","Sil1",1996,168,161,168
"ZACKENBERG","SILACA","flowering","ZACKENBERG_SILACA_flowering","SILACA_flowering","Sil2",1996,168,161,168
"ZACKENBERG","SILACA","flowering","ZACKENBERG_SILACA_flowering","SILACA_flowering","Sil3",1996,176,175,168
"ZACKENBERG","SILACA","flowering","ZACKENBERG_SILACA_flowering","SILACA_flowering","Sil4",1996,203,196,168
"ZACKENBERG","DRYOCT","flowering","ZACKENBERG_DRYOCT_flowering","DRYOCT_flowering","Dry1",1996,168,161,168
"ZACKENBERG","DRYOCT","flowering","ZACKENBERG_DRYOCT_flowering","DRYOCT_flowering","Dry2",1996,203,196,168
"ZACKENBERG","DRYOCT","flowering","ZACKENBERG_DRYOCT_flowering","DRYOCT_flowering","Dry3",1996,182,176,168
"ZACKENBERG","DRYOCT","flowering","ZACKENBERG_DRYOCT_flowering","DRYOCT_flowering","Dry4",1996,168,161,168
"ZACKENBERG","DRYOCT","flowering","ZACKENBERG_DRYOCT_flowering","DRYOCT_flowering","Dry5",1996,175,168,168
"ZACKENBERG","DRYOCT","flowering","ZACKENBERG_DRYOCT_flowering","DRYOCT_flowering","Dry6",1996,196,189,168
"ZACKENBERG","CASTET","flowering","ZACKENBERG_CASTET_flowering","CASTET_flowering","Cas1",1996,175,168,168
"ZACKENBERG","CASTET","flowering","ZACKENBERG_CASTET_flowering","CASTET_flowering","Cas2",1996,182,176,168
"ZACKENBERG","CASTET","flowering","ZACKENBERG_CASTET_flowering","CASTET_flowering","Cas3",1996,189,182,168
"ZACKENBERG","CASTET","flowering","ZACKENBERG_CASTET_flowering","CASTET_flowering","Cas4",1996,189,182,168
"ZACKENBERG","PAPRAD","flowering","ZACKENBERG_PAPRAD_flowering","PAPRAD_flowering","Pap1",1996,189,182,168
"ZACKENBERG","PAPRAD","flowering","ZACKENBERG_PAPRAD_flowering","PAPRAD_flowering","Pap2",1996,196,189,168
"ZACKENBERG","PAPRAD","flowering","ZACKENBERG_PAPRAD_flowering","PAPRAD_flowering","Pap3",1996,196,189,168
"ZACKENBERG","PAPRAD","flowering","ZACKENBERG_PAPRAD_flowering","PAPRAD_flowering","Pap4",1996,196,189,168
"ZACKENBERG","SAXOPP","flowering","ZACKENBERG_SAXOPP_flowering","SAXOPP_flowering","Sax1",1997,147,136,169
"ZACKENBERG","SAXOPP","flowering","ZACKENBERG_SAXOPP_flowering","SAXOPP_flowering","Sax2",1997,154,147,169
"ZACKENBERG","SAXOPP","flowering","ZACKENBERG_SAXOPP_flowering","SAXOPP_flowering","Sax3",1997,147,136,169
"ZACKENBERG","SALARC","flowering","ZACKENBERG_SALARC_flowering","SALARC_flowering","Sal1",1997,154,147,169
"ZACKENBERG","SALARC","flowering","ZACKENBERG_SALARC_flowering","SALARC_flowering","Sal2",1997,182,175,169
"ZACKENBERG","SALARC","flowering","ZACKENBERG_SALARC_flowering","SALARC_flowering","Sal3",1997,175,168,169
"ZACKENBERG","SALARC","flowering","ZACKENBERG_SALARC_flowering","SALARC_flowering","Sal4",1997,168,154,169
"ZACKENBERG","SILACA","flowering","ZACKENBERG_SILACA_flowering","SILACA_flowering","Sil1",1997,168,154,169
"ZACKENBERG","SILACA","flowering","ZACKENBERG_SILACA_flowering","SILACA_flowering","Sil2",1997,168,154,169
"ZACKENBERG","SILACA","flowering","ZACKENBERG_SILACA_flowering","SILACA_flowering","Sil3",1997,168,154,169
"ZACKENBERG","SILACA","flowering","ZACKENBERG_SILACA_flowering","SILACA_flowering","Sil4",1997,210,205,169
"ZACKENBERG","DRYOCT","flowering","ZACKENBERG_DRYOCT_flowering","DRYOCT_flowering","Dry1",1997,168,154,169
"ZACKENBERG","DRYOCT","flowering","ZACKENBERG_DRYOCT_flowering","DRYOCT_flowering","Dry2",1997,210,205,169
"ZACKENBERG","DRYOCT","flowering","ZACKENBERG_DRYOCT_flowering","DRYOCT_flowering","Dry3",1997,168,154,169
"ZACKENBERG","DRYOCT","flowering","ZACKENBERG_DRYOCT_flowering","DRYOCT_flowering","Dry4",1997,182,175,169
"ZACKENBERG","DRYOCT","flowering","ZACKENBERG_DRYOCT_flowering","DRYOCT_flowering","Dry5",1997,182,175,169
"ZACKENBERG","DRYOCT","flowering","ZACKENBERG_DRYOCT_flowering","DRYOCT_flowering","Dry6",1997,217,210,169
"ZACKENBERG","CASTET","flowering","ZACKENBERG_CASTET_flowering","CASTET_flowering","Cas1",1997,182,175,169
"ZACKENBERG","CASTET","flowering","ZACKENBERG_CASTET_flowering","CASTET_flowering","Cas2",1997,196,189,169
"ZACKENBERG","CASTET","flowering","ZACKENBERG_CASTET_flowering","CASTET_flowering","Cas3",1997,196,189,169
"ZACKENBERG","CASTET","flowering","ZACKENBERG_CASTET_flowering","CASTET_flowering","Cas4",1997,196,189,169
"ZACKENBERG","CASTET","flowering","ZACKENBERG_CASTET_flowering","CASTET_flowering","Cas6",1997,205,196,169
"ZACKENBERG","PAPRAD","flowering","ZACKENBERG_PAPRAD_flowering","PAPRAD_flowering","Pap1",1997,196,189,169
"ZACKENBERG","PAPRAD","flowering","ZACKENBERG_PAPRAD_flowering","PAPRAD_flowering","Pap2",1997,189,182,169
"ZACKENBERG","PAPRAD","flowering","ZACKENBERG_PAPRAD_flowering","PAPRAD_flowering","Pap3",1997,196,189,169
"ZACKENBERG","PAPRAD","flowering","ZACKENBERG_PAPRAD_flowering","PAPRAD_flowering","Pap4",1997,210,205,169
"ZACKENBERG","SAXOPP","flowering","ZACKENBERG_SAXOPP_flowering","SAXOPP_flowering","Sax1",1998,154,136,176
"ZACKENBERG","SAXOPP","flowering","ZACKENBERG_SAXOPP_flowering","SAXOPP_flowering","Sax2",1998,161,154,176
"ZACKENBERG","SAXOPP","flowering","ZACKENBERG_SAXOPP_flowering","SAXOPP_flowering","Sax3",1998,161,154,176
"ZACKENBERG","SALARC","flowering","ZACKENBERG_SALARC_flowering","SALARC_flowering","Sal1",1998,161,154,176
"ZACKENBERG","SALARC","flowering","ZACKENBERG_SALARC_flowering","SALARC_flowering","Sal2",1998,189,182,176
"ZACKENBERG","SALARC","flowering","ZACKENBERG_SALARC_flowering","SALARC_flowering","Sal3",1998,182,179,176
"ZACKENBERG","SALARC","flowering","ZACKENBERG_SALARC_flowering","SALARC_flowering","Sal4",1998,182,179,176
"ZACKENBERG","SILACA","flowering","ZACKENBERG_SILACA_flowering","SILACA_flowering","Sil1",1998,175,172,176
"ZACKENBERG","SILACA","flowering","ZACKENBERG_SILACA_flowering","SILACA_flowering","Sil2",1998,182,179,176
"ZACKENBERG","SILACA","flowering","ZACKENBERG_SILACA_flowering","SILACA_flowering","Sil3",1998,175,172,176
"ZACKENBERG","SILACA","flowering","ZACKENBERG_SILACA_flowering","SILACA_flowering","Sil4",1998,224,217,176
"ZACKENBERG","DRYOCT","flowering","ZACKENBERG_DRYOCT_flowering","DRYOCT_flowering","Dry1",1998,175,172,176
"ZACKENBERG","DRYOCT","flowering","ZACKENBERG_DRYOCT_flowering","DRYOCT_flowering","Dry2",1998,217,212,176
"ZACKENBERG","DRYOCT","flowering","ZACKENBERG_DRYOCT_flowering","DRYOCT_flowering","Dry3",1998,189,182,176
"ZACKENBERG","DRYOCT","flowering","ZACKENBERG_DRYOCT_flowering","DRYOCT_flowering","Dry4",1998,189,182,176
"ZACKENBERG","DRYOCT","flowering","ZACKENBERG_DRYOCT_flowering","DRYOCT_flowering","Dry5",1998,182,179,176
