"","cell_id","x_grid","y_grid","lat","long","size"
"1","x135y276",135,276,79.4468977368386,-70.1678701497817,653.262
"2","x136y276",136,276,79.5421872857584,-69.0265065786793,653.462
"3","x133y277",133,277,79.040553002425,-71.8340434707745,652.39
"4","x127y281",127,281,77.5795935978812,-75.599978693209,648.994
"5","x128y281",128,281,77.6941809611703,-74.6784899251353,649.275
"6","x126y282",126,282,77.2668666301463,-75.9637565320736,648.214
"7","x127y282",127,282,77.3826831905312,-75.0685828218625,648.505
"8","x125y283",125,283,76.95383818018,-76.3099503825346,647.415
"9","x126y283",126,283,77.0708133513777,-75.4397243806432,647.716
"10","x127y283",127,283,77.1848014966067,-74.5536836323075,648.007
"11","x125y284",125,284,76.7586159721789,-75.7932338822397,646.907
"12","x124y285",124,285,76.4461319339194,-76.130313561495,646.079
"13","x125y285",125,285,76.5624318878873,-75.2916961003173,646.389
"14","x123y286",123,286,76.1333988686664,-76.4520610119996,645.232
"15","x124y286",124,286,76.2507601023689,-75.6354175503029,645.552
"16","x125y286",125,286,76.365333273212,-74.8047514731802,645.862
"17","x122y287",122,287,75.8204515074861,-76.7594800848129,644.366
"18","x123y287",123,287,75.9388165712019,-75.9637565320736,644.696
"19","x124y287",124,287,76.0544782236834,-75.1545479179162,645.015
"20","x125y287",125,287,76.1673650698764,-74.3318395782476,645.325
