"","site_name","date","year","month","day","doy","sea_ice_extent"
"1","ALEXFIORD",1988-01-13,"1988","01","13","013",NA
"2","ALEXFIORD",1988-01-14,"1988","01","14","014",12953
"3","ALEXFIORD",1988-01-15,"1988","01","15","015",12953
"4","ALEXFIORD",1988-01-16,"1988","01","16","016",12953
"5","ALEXFIORD",1988-01-17,"1988","01","17","017",12953
"6","ALEXFIORD",1988-01-18,"1988","01","18","018",12953
"7","ALEXFIORD",1988-01-19,"1988","01","19","019",12953
"8","ALEXFIORD",1988-01-20,"1988","01","20","020",12953
"9","ALEXFIORD",1988-01-21,"1988","01","21","021",12953
"10","ALEXFIORD",1988-01-22,"1988","01","22","022",12953
"11","ALEXFIORD",1988-01-23,"1988","01","23","023",12953
"12","ALEXFIORD",1988-01-24,"1988","01","24","024",12953
"13","ALEXFIORD",1988-01-25,"1988","01","25","025",12953
"14","ALEXFIORD",1988-01-26,"1988","01","26","026",12953
"15","ALEXFIORD",1988-01-27,"1988","01","27","027",12953
"16","ALEXFIORD",1988-01-28,"1988","01","28","028",NA
"17","ALEXFIORD",1988-01-29,"1988","01","29","029",12953
"18","ALEXFIORD",1988-01-30,"1988","01","30","030",12953
"19","ALEXFIORD",1988-01-31,"1988","01","31","031",12953
"20","ALEXFIORD",1988-02-01,"1988","02","01","032",12953
"21","ALEXFIORD",1988-02-02,"1988","02","02","033",12953
"22","ALEXFIORD",1988-02-03,"1988","02","03","034",12953
"23","ALEXFIORD",1988-02-04,"1988","02","04","035",12953
"24","ALEXFIORD",1988-02-05,"1988","02","05","036",12953
"25","ALEXFIORD",1988-02-06,"1988","02","06","037",12953
"26","ALEXFIORD",1988-02-07,"1988","02","07","038",12953
"27","ALEXFIORD",1988-02-08,"1988","02","08","039",12953
"28","ALEXFIORD",1988-02-09,"1988","02","09","040",12953
"29","ALEXFIORD",1988-02-10,"1988","02","10","041",12953
"30","ALEXFIORD",1988-02-11,"1988","02","11","042",12953
"31","ALEXFIORD",1988-02-12,"1988","02","12","043",12953
"32","ALEXFIORD",1988-02-13,"1988","02","13","044",12953
"33","ALEXFIORD",1988-02-14,"1988","02","14","045",12953
"34","ALEXFIORD",1988-02-15,"1988","02","15","046",12953
"35","ALEXFIORD",1988-02-16,"1988","02","16","047",12953
