"","site_name","date","year","month","day","doy","sea_ice_extent"
"1","ALEXFIORD",1990-01-01,"1990","01","01","001",12488
"2","ALEXFIORD",1990-01-02,"1990","01","02","002",12488
"3","ALEXFIORD",1990-01-03,"1990","01","03","003",12488
"4","ALEXFIORD",1990-01-04,"1990","01","04","004",12488
"5","ALEXFIORD",1990-01-05,"1990","01","05","005",12488
"6","ALEXFIORD",1990-01-06,"1990","01","06","006",12488
"7","ALEXFIORD",1990-01-07,"1990","01","07","007",12488
"8","ALEXFIORD",1990-01-08,"1990","01","08","008",12488
"9","ALEXFIORD",1990-01-09,"1990","01","09","009",12488
"10","ALEXFIORD",1990-01-10,"1990","01","10","010",12488
"11","ALEXFIORD",1990-01-11,"1990","01","11","011",12488
"12","ALEXFIORD",1990-01-12,"1990","01","12","012",12488
"13","ALEXFIORD",1990-01-13,"1990","01","13","013",12488
"14","ALEXFIORD",1990-01-14,"1990","01","14","014",12488
"15","ALEXFIORD",1990-01-15,"1990","01","15","015",12488
"16","ALEXFIORD",1990-01-16,"1990","01","16","016",12488
"17","ALEXFIORD",1990-01-17,"1990","01","17","017",12488
"18","ALEXFIORD",1990-01-18,"1990","01","18","018",12488
"19","ALEXFIORD",1990-01-19,"1990","01","19","019",12488
"20","ALEXFIORD",1990-01-20,"1990","01","20","020",12488
"21","ALEXFIORD",1990-01-21,"1990","01","21","021",12488
"22","ALEXFIORD",1990-01-22,"1990","01","22","022",12488
"23","ALEXFIORD",1990-01-23,"1990","01","23","023",12488
"24","ALEXFIORD",1990-01-24,"1990","01","24","024",12488
"25","ALEXFIORD",1990-01-25,"1990","01","25","025",12488
"26","ALEXFIORD",1990-01-26,"1990","01","26","026",12488
"27","ALEXFIORD",1990-01-27,"1990","01","27","027",12488
"28","ALEXFIORD",1990-01-28,"1990","01","28","028",12488
"29","ALEXFIORD",1990-01-29,"1990","01","29","029",12488
"30","ALEXFIORD",1990-01-30,"1990","01","30","030",12488
"31","ALEXFIORD",1990-01-31,"1990","01","31","031",12488
"32","ALEXFIORD",1990-02-01,"1990","02","01","032",12488
"33","ALEXFIORD",1990-02-02,"1990","02","02","033",12488
"34","ALEXFIORD",1990-02-03,"1990","02","03","034",12488
"35","ALEXFIORD",1990-02-04,"1990","02","04","035",12488
"36","ALEXFIORD",1990-02-05,"1990","02","05","036",12488
