"","centre","x_grid","y_grid","latitude","longitude"
"1","x119y267",119,267,78.9258972538296,-92.5261169116196
"2","x119y268",119,268,78.7702022338187,-91.6602823689829
"3","x119y269",119,269,78.6120695135641,-90.8184554616887
"4","x119y270",119,270,78.4516039824695,-90.0000000000001
"5","x119y271",119,271,78.2889063510431,-89.2042764472608
"6","x119y272",119,272,78.1240732390817,-88.4306451952511
"7","x119y273",119,273,77.9571972762329,-87.6784694101674
"8","x119y274",119,274,77.7883672122558,-86.9471174852076
"9","x119y275",119,275,77.6176680346763,-86.2359651350944
"10","x119y276",119,276,77.4451810918031,-85.5443971666737
"11","x119y277",119,277,77.2709842193534,-84.8718089581472
"12","x119y278",119,278,77.0951518691889,-84.217607677636
"13","x119y279",119,279,76.9177552388863,-83.5812132697613
"14","x119y280",119,280,76.7388624010703,-82.9620592368154
"15","x119y281",119,281,76.5585384316142,-82.3595932389733
"16","x119y282",119,282,76.3768455359746,-81.7732775358919
"17","x119y283",119,283,76.1938431730607,-81.202589290009
"18","x119y284",119,284,76.009588176166,-80.6470207499068
"19","x119y285",119,285,75.8241348705873,-80.1060793302646
"20","x119y286",119,286,75.6375351876531,-79.5792876032056
"21","x119y287",119,287,75.4498387749548,-79.0661832142443
"22","x120y267",120,267,79.0935159382952,-91.7098140441416
"23","x120y268",120,268,78.9354054425938,-90.8425242607405
"24","x120y269",120,269,78.7748877639056,-90.0000000000001
"25","x120y270",120,270,78.6120695135641,-89.1815445383115
"26","x120y271",120,271,78.4470528457113,-88.3864610671189
"27","x120y272",120,272,78.2799355702341,-87.6140559696113
"28","x120y273",120,273,78.1108112768168,-86.8636416316675
"29","x120y274",120,274,77.9397694673879,-86.1345388301483
"30","x120y275",120,275,77.7668956945494,-85.4260787400992
"31","x120y276",120,276,77.5922717039645,-84.737604600405
"32","x120y277",120,277,77.4159755789502,-84.0684730750803
"33","x120y278",120,278,77.2380818858017,-83.4180553448221
"34","x120y279",120,279,77.0586618186176,-82.7857379607933
"35","x120y280",120,280,76.8777833426076,-82.1709234899405
"36","x120y281",120,281,76.6955113350526,-81.5730309785194
"37","x120y282",120,282,76.5119077232495,-80.9914962579749
"38","x120y283",120,283,76.3270316189157,-80.4257721149082
"39","x120y284",120,284,76.140939448651,-79.8753283446023
"40","x120y285",120,285,75.9536850801555,-79.3396517054647
"41","x120y286",120,286,75.7653199439955,-78.8182457898034
"42","x120y287",120,287,75.5758931507796,-78.3106308245609
"43","x121y267",121,267,79.2589091449467,-90.8680514497456
"44","x121y268",121,268,79.0983438080933,-90.0000000000001
"45","x121y269",121,269,78.9354054425938,-89.1574757392597
"46","x121y270",121,270,78.7702022338187,-88.3397176310173
"47","x121y271",121,271,78.602837625651,-87.545968325473
"48","x121y272",121,272,78.4334104605465,-86.7754773934802
"49","x121y273",121,273,78.262015129128,-86.0275040592494
"50","x121y274",121,274,78.0887417264936,-85.3013194827006
"51","x121y275",121,275,77.913676212861,-84.5962086397504
"52","x121y276",121,276,77.7369005764783,-83.9114718458049
"53","x121y277",121,277,77.5584929971171,-83.2464259644691
