"","corner","x_grid","y_grid","latitude","longitude"
"1","x118y266",118,266,78.8315317797862,-93.7615690850218
"2","x118y267",118,267,78.6794976367716,-92.8859064214311
"3","x118y268",118,268,78.5249452356811,-92.0337853037042
"4","x118y269",118,269,78.3679795983772,-91.2046312428104
"5","x118y270",118,270,78.208701813763,-90.3978617763698
"6","x118y271",118,271,78.047209095498,-89.6128899175361
"7","x118y272",118,272,77.8835948544128,-88.8491271964296
"8","x118y273",118,273,77.7179487829439,-88.105986323323
"9","x118y274",118,274,77.5503569492076,-87.3828835031894
"10","x118y275",118,275,77.3809018985942,-86.6792404309943
"11","x118y276",118,276,77.2096627610316,-85.9944859963896
"12","x118y277",118,277,77.0367153622962,-85.3280577253762
"13","x118y278",118,278,76.8621323379763,-84.6794029851425
"14","x118y279",118,279,76.6859832488828,-84.0479799767544
"15","x118y280",118,280,76.5083346968893,-83.4332585387257
"16","x118y281",118,281,76.3292504403381,-82.8347207828087
"17","x118y282",118,282,76.1487915082924,-82.2518615816485
"18","x118y283",118,283,75.9670163130446,-81.6841889262722
"19","x118y284",118,284,75.7839807603947,-81.1312241697771
"20","x118y285",118,285,75.5997383573161,-80.5925021720359
"21","x118y286",118,286,75.4143403167054,-80.0675713587845
"22","x118y287",118,287,75.2278356589879,-79.5559937070972
"23","x118y288",118,288,75.0402713104108,-79.0573446679851
"24","x119y266",119,266,79.0024713431455,-92.9713525516955
"25","x119y267",119,267,78.8480497438241,-92.0931996403013
"26","x119y268",119,268,78.6911358736914,-91.2393689153358
"27","x119y269",119,269,78.5318367480168,-90.4092277308444
"28","x119y270",119,270,78.3702551667563,-89.6021382236304
"29","x119y271",119,271,78.2064897950624,-88.8174608212559
"30","x119y272",119,272,78.0406352576573,-88.0545573027092
"31","x119y273",119,273,77.8727822442443,-87.3127934476875
"32","x119y274",119,274,77.7030176234661,-86.591541310151
"33","x119y275",119,275,77.5314245632397,-85.890181150884
"34","x119y276",119,276,77.3580826555782,-85.2081030624105
"35","x119y277",119,277,77.1830680442712,-84.5447083178916
"36","x119y278",119,278,77.0064535540376,-83.8994104736987
"37","x119y279",119,279,76.8283088199783,-83.2716362532884
"38","x119y280",119,280,76.6487004163423,-82.6608262378944
"39","x119y281",119,281,76.4676919837944,-82.0664353874326
"40","x119y282",119,282,76.2853443545176,-81.4879334129505
"41","x119y283",119,283,76.1017156746134,-80.9248050199579
"42","x119y284",119,284,75.9168615233767,-80.3765500400857
"43","x119y285",119,285,75.7308350291202,-79.8426834667351
"44","x119y286",119,286,75.5436869813039,-79.322735408725
"45","x119y287",119,287,75.3554659387991,-78.8162509744089
"46","x119y288",119,288,75.1662183341751,-78.3227900973256
"47","x120y266",120,266,79.1713120110544,-92.1561881233207
"48","x120y267",120,267,79.0144606904445,-91.276169152441
"49","x120y268",120,268,78.8551466032497,-90.4212621303703
"50","x120y269",120,269,78.6934786387348,-89.5907722691558
"51","x120y270",120,270,78.5295611796377,-88.7840028027152
"52","x120y271",120,271,78.3634942079727,-88.0002585183651
"53","x120y272",120,272,78.1953734235255,-87.2388488006394
"54","x120y273",120,273,78.0252903721023,-86.4990902309079
