"","cell_id","x_grid","y_grid","lat","long","size"
"1","x74y212",74,212,70.882614339339,-150.615842874049,628.325
"2","x74y213",74,213,70.9418439137839,-149.95356475319,628.543
"3","x74y214",74,214,70.998565846717,-149.287172284841,628.752
"4","x75y212",75,212,71.0989482565811,-150.802513953936,629.12
"5","x75y213",75,213,71.1589066052755,-150.133083148487,629.338
"6","x75y214",75,214,71.2163306571102,-149.459395150319,629.547
"7","x76y212",76,212,71.3152111454049,-150.99358409773,629.905
"8","x76y213",76,213,71.3759144448185,-150.316859820877,630.125
"9","x76y214",76,214,71.4340563599579,-149.63572899984,630.334
"10","x77y210",77,210,71.4008086352203,-152.5432577154,630.214
"11","x77y211",77,211,71.4673677935217,-151.868657635939,630.453
"12","x77y212",77,212,71.5313940444064,-151.189206257027,630.683
"13","x77y213",77,213,71.5928590022309,-150.505044182312,630.902
"14","x77y214",77,214,71.6517350498112,-149.816319342778,631.112
"15","x78y209",78,209,71.5453441721402,-153.434948822922,630.733
"16","x78y210",78,210,71.615264260054,-152.758258482643,630.982
"17","x78y211",78,211,71.6826554382947,-152.076410284862,631.222
"18","x78y212",78,212,71.7474876371599,-151.389540334035,631.452
"19","x78y213",78,213,71.8097315145838,-150.697792517861,631.671
"20","x78y214",78,214,71.8693585109571,-150.001318460472,631.881
"21","x79y208",79,208,71.6854691427919,-154.340735483033,631.232
"22","x79y209",79,209,71.7587878741106,-153.662311833913,631.492
"23","x79y210",79,210,71.8295840258604,-152.978418408823,631.741
"24","x79y211",79,211,71.8978258380892,-152.289185984747,631.982
"25","x79y212",79,212,71.9634822318965,-151.594753566529,632.212
"26","x79y213",79,213,72.0265228669685,-150.895268372581,632.432
"27","x79y214",79,214,72.0869181993229,-150.190885793294,632.642
"28","x80y194",80,194,70.6105382487817,-163.529571560392,627.315
"29","x80y195",80,195,70.7167437421366,-162.932595181536,627.711
"30","x80y196",80,196,70.820902144412,-162.328949638008,628.097
"31","x80y197",80,197,70.9229767587652,-161.718658797028,628.474
"32","x80y198",80,198,71.0229308555296,-161.101753084736,628.841
"33","x80y199",80,199,71.1207277124824,-160.47826972408,629.199
"34","x80y200",80,200,71.2163306571102,-159.848252965788,629.547
"35","x80y201",80,201,71.3097031108437,-159.21175431097,629.885
"36","x80y202",80,202,71.4008086352203,-158.568832723767,630.214
"37","x80y207",80,207,71.8210729790775,-155.260491130252,631.711
"38","x80y208",80,208,71.8978258380892,-154.580711661097,631.982
"39","x80y209",80,209,71.9720648723247,-153.895145990901,632.242
"40","x80y210",80,210,72.0437566328266,-153.203918706027,632.492
"41","x80y211",80,211,72.112868299226,-152.50716304846,632.733
"42","x80y212",80,212,72.1793677397789,-151.805020937538,632.963
"43","x80y213",80,213,72.2432235719175,-151.097642963798,633.184
"44","x80y214",80,214,72.3044052230954,-150.385188353654,633.395
"45","x81y194",81,194,70.8075146071354,-163.855661219717,628.048
"46","x81y195",81,195,70.9148969545082,-163.25424946168,628.444
"47","x81y196",81,196,71.020221977827,-162.645975363739,628.831
"48","x81y197",81,197,71.1234520357257,-162.030860259843,629.209
"49","x81y198",81,198,71.2245494311648,-161.40893227322,629.577
"50","x81y199",81,199,71.323476452819,-160.780226574086,629.935
"51","x81y200",81,200,71.4201954186142,-160.144785630679,630.284
"52","x81y201",81,201,71.5146687213869,-159.502659451998,630.623
"53","x81y202",81,202,71.6068588766292,-158.853905820592,630.952
"54","x81y203",81,203,71.6967285722672,-158.198590513648,631.272
"55","x81y204",81,204,71.7842407204057,-157.536787510593,631.581
"56","x81y205",81,205,71.8693585109571,-156.868579185373,631.881
"57","x81y206",81,206,71.9520454670559,-156.194056481542,632.172
"58","x81y207",81,207,72.0322655021439,-155.513319068284,632.452
"59","x81y208",81,208,72.1099829785946,-154.82647547547,632.723
"60","x81y209",81,209,72.185162767727,-154.133643205906,632.983
"61","x81y210",81,210,72.2577703110433,-153.434948822922,633.234
"62","x81y211",81,211,72.3277716825069,-152.730528011542,633.475
"63","x81y212",81,212,72.3951336516603,-152.02052561152,633.706
"64","x81y213",81,213,72.4598237473681,-151.305095620657,633.927
"65","x81y214",81,214,72.5218103219512,-150.584401166905,634.138
"66","x82y194",82,194,71.003977400225,-164.188629069862,628.772
"67","x82y195",82,195,71.1125572662491,-163.582767169565,629.169
"68","x82y196",82,196,71.2190698210345,-162.969843227113,629.557
"69","x82y197",82,197,71.323476452819,-162.34987578007,629.935
"70","x82y198",82,198,71.4257384694779,-161.72289039078,630.304
"71","x82y199",82,199,71.5258171410296,-161.088919925436,630.663
"72","x82y200",82,200,71.6236737444498,-160.44800482676,631.012
"73","x82y201",82,201,71.7192696107737,-159.800193378566,631.352
"74","x82y202",82,202,71.8125661744539,-159.145541960422,631.681
"75","x82y203",82,203,71.9035250249231,-158.484115290505,632.002
"76","x82y204",82,204,71.9921079602984,-157.81598665473,632.312
"77","x82y205",82,205,72.0782770431438,-157.141238120134,632.612
"78","x82y206",82,206,72.1619946581933,-156.459960730486,632.903
"79","x82y207",82,207,72.2432235719175,-155.772254682046,633.184
"80","x82y208",82,208,72.3219269937966,-155.078229477415,633.455
"81","x82y209",82,209,72.3980686391478,-154.378004055393,633.716
"82","x82y210",82,210,72.4716127933319,-153.671706894829,633.967
"83","x82y211",82,211,72.5425243771484,-152.959476090474,634.209
"84","x82y212",82,212,72.6107690132081,-152.24145939894,634.44
