"","site_name","date","year","month","day","doy","sea_ice_extent"
"1","BARROW",1988-01-13,"1988","01","13","013",NA
"2","BARROW",1988-01-14,"1988","01","14","014",134243
"3","BARROW",1988-01-15,"1988","01","15","015",134243
"4","BARROW",1988-01-16,"1988","01","16","016",134243
"5","BARROW",1988-01-17,"1988","01","17","017",134243
"6","BARROW",1988-01-18,"1988","01","18","018",134243
"7","BARROW",1988-01-19,"1988","01","19","019",134243
"8","BARROW",1988-01-20,"1988","01","20","020",134243
"9","BARROW",1988-01-21,"1988","01","21","021",134243
"10","BARROW",1988-01-22,"1988","01","22","022",134243
"11","BARROW",1988-01-23,"1988","01","23","023",134243
"12","BARROW",1988-01-24,"1988","01","24","024",134243
"13","BARROW",1988-01-25,"1988","01","25","025",134243
"14","BARROW",1988-01-26,"1988","01","26","026",134243
"15","BARROW",1988-01-27,"1988","01","27","027",134243
"16","BARROW",1988-01-28,"1988","01","28","028",NA
"17","BARROW",1988-01-29,"1988","01","29","029",134243
"18","BARROW",1988-01-30,"1988","01","30","030",134243
"19","BARROW",1988-01-31,"1988","01","31","031",134243
"20","BARROW",1988-02-01,"1988","02","01","032",134243
"21","BARROW",1988-02-02,"1988","02","02","033",134243
"22","BARROW",1988-02-03,"1988","02","03","034",134243
"23","BARROW",1988-02-04,"1988","02","04","035",134243
"24","BARROW",1988-02-05,"1988","02","05","036",134243
"25","BARROW",1988-02-06,"1988","02","06","037",134243
"26","BARROW",1988-02-07,"1988","02","07","038",134243
"27","BARROW",1988-02-08,"1988","02","08","039",134243
"28","BARROW",1988-02-09,"1988","02","09","040",134243
"29","BARROW",1988-02-10,"1988","02","10","041",134243
"30","BARROW",1988-02-11,"1988","02","11","042",134243
"31","BARROW",1988-02-12,"1988","02","12","043",134243
"32","BARROW",1988-02-13,"1988","02","13","044",134243
"33","BARROW",1988-02-14,"1988","02","14","045",134243
"34","BARROW",1988-02-15,"1988","02","15","046",134243
"35","BARROW",1988-02-16,"1988","02","16","047",134243
"36","BARROW",1988-02-17,"1988","02","17","048",134243
"37","BARROW",1988-02-18,"1988","02","18","049",134243
"38","BARROW",1988-02-19,"1988","02","19","050",134243
"39","BARROW",1988-02-20,"1988","02","20","051",134243
"40","BARROW",1988-02-21,"1988","02","21","052",134243
"41","BARROW",1988-02-22,"1988","02","22","053",134243
"42","BARROW",1988-02-23,"1988","02","23","054",134243
"43","BARROW",1988-02-24,"1988","02","24","055",134243
"44","BARROW",1988-02-25,"1988","02","25","056",134243
"45","BARROW",1988-02-26,"1988","02","26","057",134243
"46","BARROW",1988-02-27,"1988","02","27","058",134243
"47","BARROW",1988-02-28,"1988","02","28","059",134243
"48","BARROW",1988-02-29,"1988","02","29","060",134243
"49","BARROW",1988-03-01,"1988","03","01","061",134243
"50","BARROW",1988-03-02,"1988","03","02","062",134243
"51","BARROW",1988-03-03,"1988","03","03","063",134243
"52","BARROW",1988-03-04,"1988","03","04","064",134243
