"","corner","x_grid","y_grid","latitude","longitude"
"1","x67y193",67,193,67.9645956213933,-160.105856647217
"2","x67y194",67,194,68.0581363896777,-159.566586189936
"3","x67y195",67,195,68.1497901764818,-159.022635431762
"4","x67y196",67,196,68.2395303791198,-158.474042503258
"5","x67y197",67,197,68.3273305237996,-157.920849592177
"6","x67y198",67,198,68.4131642921517,-157.363103026129
"7","x67y199",67,199,68.4970055485225,-156.800853349473
"8","x67y200",67,200,68.5788283679952,-156.234155393894
"9","x67y201",67,201,68.6586070650952,-155.663068342116
"10","x67y202",67,202,68.7363162231329,-155.087655784181
"11","x67y203",67,203,68.8119307241309,-154.507985765752
"12","x67y204",67,204,68.8854257792772,-153.924130827897
"13","x67y205",67,205,68.9567769598435,-153.336168037826
"14","x67y206",67,206,69.0259602284986,-152.744179010059
"15","x67y207",67,207,69.0929519709461,-152.148249917553
"16","x67y208",67,208,69.1577290278073,-151.548471492306
"17","x67y209",67,209,69.2202687266686,-150.944939014997
"18","x67y210",67,210,69.2805489142071,-150.337752293299
"19","x67y211",67,211,69.338547988303,-149.72701562845
"20","x67y212",67,212,69.3942449300458,-149.112837769818
"21","x67y213",67,213,69.4476193355374,-148.495331857156
"22","x67y214",67,214,69.4986514473906,-147.874615350353
"23","x67y215",67,215,69.5473221858216,-147.250809946512
"24","x68y193",68,193,68.1660824677863,-160.359805917014
"25","x68y194",68,194,68.2605730408787,-159.816530052825
"26","x68y195",68,195,68.3531651512644,-159.268448402975
"27","x68y196",68,196,68.443831545786,-158.715598548599
"28","x68y197",68,197,68.5325450922955,-158.158022278044
"29","x68y198",68,198,68.6192788070516,-157.595765676944
"30","x68y199",68,199,68.7040058829422,-157.028879212377
"31","x68y200",68,200,68.7866997184954,-156.45741781051
"32","x68y201",68,201,68.8673339476352,-155.881440927127
"33","x68y202",68,202,68.9458824701328,-155.301012610448
"34","x68y203",68,203,69.0223194826993,-154.716201555619
"35","x68y204",68,204,69.0966195106604,-154.127081150308
"36","x68y205",68,205,69.1687574401481,-153.533729510808
"37","x68y206",68,206,69.238708550738,-152.936229508085
"38","x68y207",68,207,69.3064485484558,-152.334668783244
"39","x68y208",68,208,69.3719535990746,-151.729139751891
"40","x68y209",68,209,69.435200361612,-151.119739596895
"41","x68y210",68,210,69.4961660219411,-150.506570249136
"42","x68y211",68,211,69.5548283264158,-149.889738355793
"43","x68y212",68,212,69.6111656154147,-149.269355235858
"44","x68y213",68,213,69.6651568566961,-148.645536822538
"45","x68y214",68,214,69.7167816784614,-148.018403592311
"46","x68y215",68,215,69.7660204020163,-147.388080480446
"47","x69y193",69,193,68.3672736801242,-160.618595110521
"48","x69y194",69,194,68.4627297178992,-160.071280386811
"49","x69y195",69,195,68.5562758613839,-159.519030280064
"50","x69y196",69,196,68.6478841882756,-158.961881726497
"51","x69y197",69,197,68.7375268886315,-158.399876024876
"52","x69y198",69,198,68.8251762931558,-157.833058934605
"53","x69y199",69,199,68.91080490238,-157.261480767734
"54","x69y200",69,200,68.9943854166941,-156.685196474279
"55","x69y201",69,201,69.0758907671893,-156.104265720172
"56","x69y202",69,202,69.1552941472582,-155.518752957214
"57","x69y203",69,203,69.2325690448999,-154.92872748435
"58","x69y204",69,204,69.3076892756657,-154.33426349965
"59","x69y205",69,205,69.3806290161799,-153.735440142346
"60","x69y206",69,206,69.4513628381605,-153.132341524299
"61","x69y207",69,207,69.5198657428616,-152.525056750328
"62","x69y208",69,208,69.5861131958503,-151.913679926797
"63","x69y209",69,209,69.6500811620311,-151.298310157965
"64","x69y210",69,210,69.7117461408172,-150.679051529554
"65","x69y211",69,211,69.771085201352,-150.056013079133
"66","x69y212",69,212,69.8280760176727,-149.429308752872
"67","x69y213",69,213,69.8826969037082,-148.799057348339
"68","x69y214",69,214,69.9349268479962,-148.165382443062
"69","x69y215",69,215,69.9847455480053,-147.528412308607
"70","x70y193",70,193,68.5681550223561,-160.882353056136
"71","x70y194",70,194,68.6645925214075,-160.330966813809
"72","x70y195",70,195,68.7591087547258,-159.774511331218
"73","x70y196",70,196,68.8516751116804,-159.213022796053
"74","x70y197",70,197,68.9422630845302,-158.64654191932
"75","x70y198",70,198,69.0308442976236,-158.075114042062
"76","x70y199",70,199,69.1173905375614,-157.498789235884
"77","x70y200",70,200,69.2018737842825,-156.917622396584
"78","x70y201",70,201,69.2842662430276,-156.331673330187
"79","x70y202",70,202,69.3645403771321,-155.741006830682
"80","x70y203",70,203,69.4426689415891,-155.145692748735
"81","x70y204",70,204,69.5186250173194,-154.54580605068
"82","x70y205",70,205,69.5923820460784,-153.941426867111
"83","x70y206",70,206,69.6639138659234,-153.332640530372
"84","x70y207",70,207,69.7331947471579,-152.719537600305
"85","x70y208",70,208,69.8001994286639,-152.102213877619
"86","x70y209",70,209,69.8649031545275,-151.480770404297
"87","x70y210",70,210,69.9272817108547,-150.855313450472
"88","x70y211",70,211,69.9873114626739,-150.225954487279
"89","x70y212",70,212,70.0449693908106,-149.592810145217
"90","x70y213",70,213,70.1002331286193,-148.95600215763
"91","x70y214",70,214,70.1530809984523,-148.315657288984
"92","x70y215",70,215,70.2034920477408,-147.671907247661
"93","x71y193",71,193,68.7687117881225,-161.151212734403
"94","x71y194",71,194,68.8661470885091,-160.595723216386
"95","x71y195",71,195,68.9616498230899,-160.035026188986
"96","x71y196",71,196,69.0551906732105,-159.469156979023
"97","x71y197",71,197,69.1467404127565,-158.898155602907
"98","x71y198",71,198,69.2362699382881,-158.322066882684
"99","x71y199",71,199,69.3237503002119,-157.74094055576
"100","x71y200",71,200,69.4091527349509,-157.15483137756
"101","x71y201",71,201,69.4924486980688,-156.563799216358
"102","x71y202",71,202,69.573609898297,-155.967909139496
"103","x71y203",71,203,69.6526083324034,-155.367231490245
"104","x71y204",71,204,69.7294163208414,-154.761841954507
"105","x71y205",71,205,69.8040065441018,-154.151821616639
"106","x71y206",71,206,69.876352079692,-153.537257003612
"107","x71y207",71,207,69.9464264396539,-152.918240116822
"108","x71y208",71,208,70.0142036085264,-152.294868450826
"109","x71y209",71,209,70.0796580816543,-151.667244998369
"110","x71y210",71,210,70.1427649037355,-151.035478241066
"111","x71y211",71,211,70.2034997074944,-150.399682125192
"112","x71y212",71,212,70.2618387523632,-149.759976022036
"113","x71y213",71,213,70.3177589630482,-149.116484672403
"114","x71y214",71,214,70.371237967851,-148.469338114864
"115","x71y215",71,215,70.4222541366157,-147.818671597456
"116","x72y193",72,193,68.9689287809765,-161.425311421274
"117","x72y194",72,194,69.0673785729282,-160.865687889809
"118","x72y195",72,195,69.1638845823757,-160.300714011069
"119","x72y196",72,196,69.25841676243,-159.730424129258
"120","x72y197",72,197,69.3509451474517,-159.154857450025
"121","x72y198",72,198,69.4414398841385,-158.574058166561
"122","x72y199",72,199,69.5298712637336,-157.988075579291
"123","x72y200",72,200,69.6162097553112,-157.396964208314
"124","x72y201",72,201,69.7004260400985,-156.800783897792
"125","x72y202",72,202,69.7824910467791,-156.199599911443
"126","x72y203",72,203,69.8623759877189,-155.593483018304
"127","x72y204",72,204,69.9400523960475,-154.982509567912
"128","x72y205",72,205,70.0154921635188,-154.36676155409
"129","x72y206",72,206,70.0886675790684,-153.746326666525
"130","x72y207",72,207,70.1595513679796,-153.121298329309
"131","x72y208",72,208,70.228116731556,-152.491775725722
"132","x72y209",72,209,70.2943373871994,-151.857863808488
"133","x72y210",72,210,70.358187608779,-151.219673294843
"134","x72y211",72,211,70.4196422671723,-150.577320645757
"135","x72y212",72,212,70.4786768708543,-149.930928028753
"136","x72y213",72,213,70.5352676064026,-149.280623263792
"137","x72y214",72,214,70.5893913787817,-148.626539751815
"138","x72y215",72,215,70.6410258512666,-147.968816385562
"139","x73y193",73,193,69.168790293681,-161.704790835557
"140","x73y194",73,194,69.2682716242388,-161.141003698927
"141","x73y195",73,195,69.3657980517959,-160.571718646618
"142","x73y196",73,196,69.461338780503,-159.996968908354
"143","x73y197",73,197,69.5548630834598,-159.416792752778
"144","x73y198",73,198,69.6463403347787,-158.831233624415
"145","x73y199",73,199,69.7357400428513,-158.240340274121
"146","x73y200",73,200,69.8230318847826,-157.64416688214
"147","x73y201",73,201,69.9081857419467,-157.042773172896
