"","centre","x_grid","y_grid","latitude","longitude"
"1","x68y194",68,194,68.2137989566444,-160.089373868929
"2","x68y195",68,195,68.307347125113,-159.543686236722
"3","x68y196",68,196,68.3989831774158,-158.993210569228
"4","x68y197",68,197,68.4886799141562,-158.437986527969
"5","x68y198",68,198,68.5764102704349,-157.878058028118
"6","x68y199",68,199,68.6621473436684,-157.31347332577
"7","x68y200",68,200,68.745864422216,-156.744285098985
"8","x68y201",68,201,68.8275350147748,-156.170550522035
"9","x68y202",68,202,68.9071328804957,-155.59233133222
"10","x68y203",68,203,68.98463205977,-155.009693888675
"11","x68y204",68,204,69.0600069056286,-154.422709222562
"12","x68y205",68,205,69.1332321156922,-153.831453078055
"13","x68y206",68,206,69.2042827646041,-153.236005943562
"14","x68y207",68,207,69.2731343368718,-152.636453072608
"15","x68y208",68,208,69.3397627600399,-152.032884493881
"16","x68y209",68,209,69.4041444381093,-151.425395009901
"17","x68y210",68,210,69.4662562851148,-150.81408418389
"18","x68y211",68,211,69.5260757587673,-150.199056314381
"19","x68y212",68,212,69.5835808940644,-149.580420397204
"20","x68y213",68,213,69.6387503367651,-148.958290074511
"21","x68y214",68,214,69.691563376627,-148.332783570564
"22","x69y194",69,194,68.4154756761437,-160.346175941947
"23","x69y195",69,195,68.5099837596546,-159.796384831675
"24","x69y196",69,196,68.6025679631131,-159.241675728454
"25","x69y197",69,197,68.6932004134381,-158.682087724539
"26","x69y198",69,198,68.7818533638248,-158.117664325213
"27","x69y199",69,199,68.8684992224869,-157.548453543996
"28","x69y200",69,200,68.953110582273,-156.974507991472
"29","x69y201",69,201,69.0356602511152,-156.395884957086
"30","x69y202",69,202,69.1161212832634,-155.812646483259
"31","x69y203",69,203,69.1944670112531,-155.224859431168
"32","x69y204",69,204,69.2706710785467,-154.632595537531
"33","x69y205",69,205,69.3447074727847,-154.03593146177
"34","x69y206",69,206,69.4165505595751,-153.434948822922
"35","x69y207",69,207,69.486175116746,-152.829734225677
"36","x69y208",69,208,69.5535563689771,-152.220379274978
"37","x69y209",69,209,69.6186700227236,-151.606980578617
"38","x69y210",69,210,69.6814923013387,-150.989639737313
"39","x69y211",69,211,69.7419999802958,-150.368463321796
"40","x69y212",69,212,69.8001704224082,-149.743562836471
"41","x69y213",69,213,69.8559816129373,-149.115054669272
"42","x69y214",69,214,69.9094121944791,-148.483060027405
