"","corner","x_grid","y_grid","latitude","longitude"
"1","x54y217",54,217,66.7871277328017,-144.600714033997
"2","x54y218",54,218,66.8230602487387,-144.045586511346
"3","x54y219",54,219,66.8568712803274,-143.488741341462
"4","x54y220",54,220,66.888550499499,-142.930276196865
"5","x54y221",54,221,66.9180881755798,-142.370290549757
"6","x54y222",54,222,66.945475188489,-141.80888557602
"7","x54y223",54,223,66.9707030412236,-141.246164054569
"8","x54y224",54,224,66.9937638715911,-140.682230262289
"9","x54y225",54,225,67.0146504631518,-140.117189864794
"10","x54y226",54,226,67.0333562553352,-139.551149803277
"11","x54y227",54,227,67.0498753527,-138.984218177735
"12","x54y228",54,228,67.0642025333025,-138.416504126873
"13","x54y229",54,229,67.07633325615,-137.848117705017
"14","x54y230",54,230,67.0862636677116,-137.279169756353
"15","x54y231",54,231,67.0939906074664,-136.709771786879
"16","x54y232",54,232,67.099511612467,-136.140035834392
"17","x54y233",54,233,67.1028249209074,-135.570074336926
"18","x54y234",54,234,67.1039294746788,-135
"19","x54y235",54,235,67.1028249209074,-134.429925663074
"20","x54y236",54,236,67.099511612467,-133.859964165609
"21","x54y237",54,237,67.0939906074664,-133.290228213122
"22","x54y238",54,238,67.0862636677116,-132.720830243647
"23","x54y239",54,239,67.07633325615,-132.151882294983
"24","x55y217",55,217,67.0058593621096,-144.695376556
"25","x55y218",55,218,67.0421706427622,-144.134967289931
"26","x55y219",55,219,67.0763391183307,-143.572789840006
"27","x55y220",55,220,67.1083541650598,-143.008944555394
"28","x55y221",55,221,67.1382057722658,-142.443533672994
"29","x55y222",55,222,67.1658845561736,-141.876661217242
"30","x55y223",55,223,67.1913817730092,-141.308432894957
"31","x55y224",55,224,67.2146893313083,-140.738955985456
"32","x55y225",55,225,67.2357998033976,-140.168339226212
"33","x55y226",55,226,67.2547064360142,-139.596692694327
"34","x55y227",55,227,67.2714031600253,-139.024127684116
"35","x55y228",55,228,67.2858845992167,-138.450756581145
"36","x55y229",55,229,67.2981460781203,-137.876692733061
"37","x55y230",55,230,67.3081836288536,-137.302050317556
"38","x55y231",55,231,67.3159939969469,-136.726944207877
"39","x55y232",55,232,67.3215746461405,-136.151489836241
"40","x55y233",55,233,67.3249237621318,-135.575803055578
"41","x55y234",55,234,67.326040255262,-135
"42","x55y235",55,235,67.3249237621318,-134.424196944422
"43","x55y236",55,236,67.3215746461405,-133.848510163759
"44","x55y237",55,237,67.3159939969469,-133.273055792124
"45","x55y238",55,238,67.3081836288536,-132.697949682445
"46","x55y239",55,239,67.2981460781203,-132.123307266939
"47","x56y217",56,217,67.2246922570535,-144.791905973828
"48","x56y218",56,218,67.2613894508386,-144.226116582981
"49","x56y219",56,219,67.2959221499499,-143.658506488004
"50","x56y220",56,220,67.3282794235248,-143.089178809772
"51","x56y221",56,221,67.3584509699835,-142.518238650111
"52","x56y222",56,222,67.3864271315409,-141.945792987207
"53","x56y223",56,223,67.4121989079441,-141.371950565703
"54","x56y224",56,224,67.4357579693896,-140.796821781742
"55","x56y225",56,225,67.4570966685771,-140.22051856324
"56","x56y226",56,226,67.4762080518601,-139.643154245668
"57","x56y227",56,227,67.4930858694553,-139.06484344368
"58","x56y228",56,228,67.5077245846753,-138.485701918943
"59","x56y229",56,229,67.5201193821534,-137.905846444509
"60","x56y230",56,230,67.5302661750314,-137.325394666141
"61","x56y231",56,231,67.5381616110847,-136.744464960984
"62","x56y232",56,232,67.5438030777647,-136.163176294005
"63","x56y233",56,233,67.5471887061387,-135.581648072627
"64","x56y234",56,234,67.5483173737144,-135.000000000001
"65","x56y235",56,235,67.5471887061387,-134.418351927374
"66","x56y236",56,236,67.5438030777647,-133.836823705995
"67","x56y237",56,237,67.5381616110847,-133.255535039016
"68","x56y238",56,238,67.5302661750314,-132.674605333859
"69","x56y239",56,239,67.5201193821534,-132.094153555491
"70","x57y217",57,217,67.4436230418315,-144.890357499028
"71","x57y218",57,218,67.4807135038592,-144.319086926992
