"","centre","x_grid","y_grid","latitude","longitude"
"1","x55y218",55,218,67.0245493378642,-144.41562639154
"2","x55y219",55,219,67.0597919476602,-143.854308188322
"3","x55y220",55,220,67.0928862890012,-143.291271491691
"4","x55y221",55,221,67.1238220411183,-142.726617619097
"5","x55y222",55,222,67.1525895034133,-142.160449726891
"6","x55y223",55,223,67.1791796089338,-141.592872707594
"7","x55y224",55,224,67.2035839370846,-141.02399308232
"8","x55y225",55,225,67.225794725532,-140.453918888591
"9","x55y226",55,226,67.2458048812633,-139.882759563833
"10","x55y227",55,227,67.2636079907652,-139.310625824821
"11","x55y228",55,228,67.2791983292854,-138.73762954341
"12","x55y229",55,229,67.292570869148,-138.163883618881
"13","x55y230",55,230,67.3037212870927,-137.589501847241
"14","x55y231",55,231,67.3126459706144,-137.014598787871
"15","x55y232",55,232,67.3193420232794,-136.439289627883
"16","x55y233",55,233,67.3238072690016,-135.8636900446
"17","x55y234",55,234,67.326040255262,-135.287916066557
"18","x55y235",55,235,67.326040255262,-134.712083933443
"19","x55y236",55,236,67.3238072690016,-134.136309955401
"20","x55y237",55,237,67.3193420232794,-133.560710372118
"21","x55y238",55,238,67.3126459706144,-132.98540121213
"22","x56y218",56,218,67.2435805723918,-144.509479217553
"23","x56y219",56,219,67.2791983292854,-143.94275394841
"24","x56y220",56,220,67.3126459706144,-143.374259027599
"25","x56y221",56,221,67.3439128764353,-142.804098591944
"26","x56y222",56,222,67.3729890635317,-142.232378708278
"27","x56y223",56,223,67.39986519955,-141.659207266137
"28","x56y224",56,224,67.4245326163381,-141.084693865269
"29","x56y225",56,225,67.446983322441,-140.508949698216
"30","x56y226",56,226,67.4672100147131,-139.932087428265
"31","x56y227",56,227,67.485206089007,-139.35422106307
"32","x56y228",56,228,67.5009656499035,-138.77546582429
"33","x56y229",56,229,67.5144835194471,-138.195938013596
"34","x56y230",56,230,67.5257552448598,-137.615754875422
"35","x56y231",56,231,67.534777105203,-137.03503445686
"36","x56y232",56,232,67.5415461169664,-136.453895465109
"37","x56y233",56,233,67.546060038563,-135.872457122902
"38","x56y234",56,234,67.5483173737144,-135.290839022351
"39","x56y235",56,235,67.5483173737144,-134.70916097765
"40","x56y236",56,236,67.546060038563,-134.127542877098
"41","x56y237",56,237,67.5415461169664,-133.546104534891
"42","x56y238",56,238,67.534777105203,-132.96496554314
