"","corner","x_grid","y_grid","latitude","longitude"
"1","x54y217",54,217,66.8779009090119,-144.600714033997
"2","x54y218",54,218,66.9150861858995,-144.045586511346
"3","x54y219",54,219,66.9501447056014,-143.488741341462
"4","x54y220",54,220,66.9830656930567,-142.930276196865
"5","x54y221",54,221,67.0138389715021,-142.370290549757
"6","x54y222",54,222,67.0424549763435,-141.80888557602
"7","x54y223",54,223,67.068904768319,-141.246164054569
"8","x54y224",54,224,67.0931800459138,-140.682230262289
"9","x54y225",54,225,67.1152731569857,-140.117189864794
"10","x54y226",54,226,67.1351771095638,-139.551149803277
"11","x54y227",54,227,67.1528855817857,-138.984218177735
"12","x54y228",54,228,67.1683929309396,-138.416504126873
"13","x54y229",54,229,67.1816942015796,-137.848117705017
"14","x54y230",54,230,67.1927851326907,-137.279169756353
"15","x54y231",54,231,67.2016621638745,-136.709771786879
"16","x54y232",54,232,67.2083224405387,-136.140035834392
"17","x54y233",54,233,67.2127638180688,-135.570074336926
"18","x54y234",54,234,67.2149848649704,-135
"19","x54y235",54,235,67.2149848649704,-134.429925663074
"20","x54y236",54,236,67.2127638180688,-133.859964165609
"21","x54y237",54,237,67.2083224405387,-133.290228213122
"22","x54y238",54,238,67.2016621638745,-132.720830243647
"23","x55y217",55,217,67.0964866640351,-144.695376556
"24","x55y218",55,218,67.134064955128,-144.134967289931
"25","x55y219",55,219,67.1694951384728,-143.572789840006
"26","x55y220",55,220,67.2027661298078,-143.008944555394
"27","x55y221",55,221,67.2338674587768,-142.443533672994
"28","x55y222",55,222,67.2627892834725,-141.876661217242
"29","x55y223",55,223,67.2895224042419,-141.308432894957
"30","x55y224",55,224,67.3140582767114,-140.738955985456
"31","x55y225",55,225,67.3363890239865,-140.168339226212
"32","x55y226",55,226,67.3565074479882,-139.596692694327
"33","x55y227",55,227,67.3744070398861,-139.024127684116
"34","x55y228",55,228,67.3900819895944,-138.450756581145
"35","x55y229",55,229,67.4035271942975,-137.876692733061
"36","x55y230",55,230,67.4147382659762,-137.302050317556
"37","x55y231",55,231,67.4237115379087,-136.726944207877
"38","x55y232",55,232,67.4304440701229,-136.151489836241
"39","x55y233",55,233,67.4349336537823,-135.575803055578
"40","x55y234",55,234,67.4371788144882,-135
"41","x55y235",55,235,67.4371788144882,-134.424196944422
"42","x55y236",55,236,67.4349336537823,-133.848510163759
"43","x55y237",55,237,67.4304440701229,-133.273055792124
"44","x55y238",55,238,67.4237115379087,-132.697949682445
"45","x56y217",56,217,67.3151682790267,-144.791905973828
"46","x56y218",56,218,67.3531470198584,-144.226116582981
"47","x56y219",56,219,67.3889559348395,-143.658506488004
"48","x56y220",56,220,67.4225836185479,-143.089178809772
"49","x56y221",56,221,67.4540192956,-142.518238650111
"50","x56y222",56,222,67.4832528359051,-141.945792987207
"51","x56y223",56,223,67.5102747691515,-141.371950565703
"52","x56y224",56,224,67.5350762984769,-140.796821781742
"53","x56y225",56,225,67.5576493132779,-140.22051856324
"54","x56y226",56,226,67.5779864011154,-139.643154245668
"55","x56y227",56,227,67.5960808586737,-139.06484344368
"56","x56y228",56,228,67.6119267017394,-138.485701918943
"57","x56y229",56,229,67.6255186741597,-137.905846444509
"58","x56y230",56,230,67.6368522557548,-137.325394666141
"59","x56y231",56,231,67.6459236691518,-136.744464960984
"60","x56y232",56,232,67.6527298855171,-136.163176294005
"61","x56y233",56,233,67.6572686291692,-135.581648072627
"62","x56y234",56,234,67.6595383810503,-135.000000000001
"63","x56y235",56,235,67.6595383810503,-134.418351927374
"64","x56y236",56,236,67.6572686291692,-133.836823705995
"65","x56y237",56,237,67.6527298855171,-133.255535039016
"66","x56y238",56,238,67.6459236691518,-132.674605333859
"67","x57y217",57,217,67.5339422285821,-144.890357499028
"68","x57y218",57,218,67.5723290699553,-144.319086926992
"69","x57y219",57,219,67.6085239906473,-143.745941049571
"70","x57y220",57,220,67.6425152515363,-143.17102585845
"71","x57y221",57,221,67.6742917602184,-142.594449425021
"72","x57y222",57,222,67.7038430870139,-142.016321791156
"73","x57y223",57,223,67.7311594801749,-141.436754854324
"74","x57y224",57,224,67.7562318802402,-140.85586224728
"75","x57y225",57,225,67.7790519334899,-140.273759212644
"76","x57y226",57,226,67.7996120044554,-139.690562472686
"77","x57y227",57,227,67.8179051874372,-139.106390094643
"78","x57y228",57,228,67.8339253169945,-138.521361351963
"79","x57y229",57,229,67.8476669773652,-137.935596581851
"80","x57y230",57,230,67.8591255107869,-137.349217039535
"81","x57y231",57,231,67.8682970246843,-136.762344749696
"82","x57y232",57,232,67.8751783977009,-136.175102355484
"83","x57y233",57,233,67.8797672845506,-135.587612965617
"84","x57y234",57,234,67.8820621196718,-135
"85","x57y235",57,235,67.8820621196718,-134.412387034383
"86","x57y236",57,236,67.8797672845506,-133.824897644516
"87","x57y237",57,237,67.8751783977009,-133.237655250304
"88","x57y238",57,238,67.8682970246843,-132.650782960465
"89","x58y217",58,217,67.7528048973039,-144.990788518493
"90","x58y218",58,218,67.7916077135837,-144.413932940394
"91","x58y219",58,219,67.8281961281557,-143.835145271619
"92","x58y220",58,220,67.8625580550467,-143.25453447801
"93","x58y221",58,221,67.8946820722474,-142.67221170978
"94","x58y222",58,222,67.9245574385171,-142.08829018743
"95","x58y223",58,223,67.9521741093541,-141.502885081602
"96","x58y224",58,224,67.9775227520772,-140.916113387138
"97","x58y225",58,225,68.0005947599658,-140.328093791645
"98","x58y226",58,226,68.0213822654093,-139.738946538926
"99","x58y227",58,227,68.0398781520203,-139.148793287627
"100","x58y228",58,228,68.0560760656647,-138.557756965499
"101","x58y229",58,229,68.0699704243743,-137.965961619703
"102","x58y230",58,230,68.0815564270997,-137.373532263586
"103","x58y231",58,231,68.0908300612755,-136.780594720412
"104","x58y232",58,232,68.0977881091686,-136.187275464512
"105","x58y233",58,233,68.1024281529851,-135.593701460343
"106","x58y234",58,234,68.1047485787176,-135
"107","x58y235",58,235,68.1047485787176,-134.406298539657
"108","x58y236",58,236,68.1024281529851,-133.812724535489
"109","x58y237",58,237,68.0977881091686,-133.219405279588
"110","x58y238",58,238,68.0908300612755,-132.626467736414
"111","x59y217",59,217,67.9717525756663,-145.093258701432
"112","x59y218",59,218,68.0109794734686,-144.510711426676
"113","x59y219",59,219,68.0479690925846,-143.926172982736
"114","x59y220",59,220,68.0827089863888,-143.339755417408
"115","x59y221",59,221,68.1151873900557,-142.751573073844
"116","x59y222",59,222,68.1453932382097,-142.161742471366
"117","x59y223",59,223,68.1733161817059,-141.57038217979
"118","x59y224",59,224,68.1989466034811,-140.977612687524
"119","x59y225",59,225,68.222275633422,-140.383556263801
"120","x59y226",59,226,68.2432951621946,-139.788336815375
"121","x59y227",59,227,68.2619978539874,-139.192079738106
"122","x59y228",59,228,68.2783771581197,-138.594911763822
"123","x59y229",59,229,68.2924273194736,-137.996960802931
"124","x59y230",59,230,68.3041433877096,-137.39835578326
"125","x59y231",59,231,68.313521225232,-136.799226485591
"126","x59y232",59,232,68.3205575138743,-136.199703376442
"127","x59y233",59,233,68.3252497602778,-135.599917438605
"128","x59y234",59,234,68.3275962999435,-135
"129","x59y235",59,235,68.3275962999435,-134.400082561396
"130","x59y236",59,236,68.3252497602778,-133.800296623559
"131","x59y237",59,237,68.3205575138743,-133.200773514409
"132","x59y238",59,238,68.313521225232,-132.601644216741
"133","x60y217",60,217,68.1907814556292,-145.197830112653
"134","x60y218",60,218,68.2304407829266,-144.609481483632
"135","x60y219",60,219,68.2678395485539,-144.019080197987
"136","x60y220",60,220,68.3029649307456,-143.42674149792
"137","x60y221",60,221,68.3358048079853,-142.832583038742
"138","x60y222",60,222,68.3663477775521,-142.236724764332
"139","x60y223",60,223,68.3945831731603,-141.639288775623
"140","x60y224",60,224,68.4205010816288,-141.040399192431
"141","x60y225",60,225,68.4440923585213,-140.440182008971
"142","x60y226",60,226,68.4653486426992,-139.838764943449
"143","x60y227",60,227,68.4842623697343,-139.236277282139
"144","x60y228",60,228,68.5008267841307,-138.63284971841
"145","x60y229",60,229,68.5150359503114,-138.028614187178
"146","x60y230",60,230,68.5268847623246,-137.423703695284
"147","x60y231",60,231,68.5363689522357,-136.818252148342
"148","x60y232",60,232,68.5434850971713,-136.21239417461
"149","x60y233",60,233,68.5482306249872,-135.606264946457
"150","x60y234",60,234,68.5506038185388,-135
"151","x60y235",60,235,68.5506038185388,-134.393735053543
"152","x60y236",60,236,68.5482306249872,-133.78760582539
"153","x60y237",60,237,68.5434850971713,-133.181747851658
"154","x60y238",60,238,68.5363689522357,-132.576296304716
"155","x61y217",61,217,68.4098876259835,-145.304567332546
"156","x61y218",61,218,68.4499879816517,-144.710304619154
"157","x61y219",61,219,68.4878040763018,-144.113925230045
"158","x61y220",61,220,68.5233226978124,-143.515547719163
"159","x61y221",61,221,68.5565313533978,-142.915293178567
"160","x61y222",61,222,68.587418289105,-142.313285108253
"161","x61y223",61,223,68.615972508366,-141.709649278504
"162","x61y224",61,224,68.6421837895357,-141.10451358509
"163","x61y225",61,225,68.6660427023529,-140.498007897691
"164","x61y226",61,226,68.6875406232621,-139.890263901953
"165","x61y227",61,227,68.7066697495386,-139.281414935624
"166","x61y228",61,228,68.7234231121639,-138.671595819254
"167","x61y229",61,229,68.7377945874011,-138.060942681966
"168","x61y230",61,230,68.7497789070248,-137.449592782864
"169","x61y231",61,231,68.7593716671675,-136.837684328618
"170","x61y232",61,232,68.7665693357446,-136.225356287862
"171","x61y233",61,233,68.7713692584317,-135.612748202993
"172","x61y234",61,234,68.7737696631679,-135
"173","x61y235",61,235,68.7737696631679,-134.387251797007
"174","x61y236",61,236,68.7713692584317,-133.774643712138
"175","x61y237",61,237,68.7665693357446,-133.162315671383
"176","x61y238",61,238,68.7593716671675,-132.550407217137
"177","x62y217",62,217,68.6290670674083,-145.413537584292
"178","x62y218",62,218,68.6696173112396,-144.813244874035
"179","x62y219",62,219,68.7078591676657,-144.21076880711
"180","x62y220",62,220,68.7437790182228,-143.606231371652
"181","x62y221",62,221,68.7773639835305,-142.99975722669
"182","x62y222",62,222,68.8086019438001,-142.391473566045
"183","x62y223",62,223,68.8374815583546,-141.781509974212
"184","x62y224",62,224,68.8639922840909,-141.16999827456
"185","x62y225",62,225,68.888124392813,-140.557072370251
"186","x62y226",62,226,68.9098689873715,-139.942868078318
"187","x62y227",62,227,68.9292180165482,-139.32752295737
"188","x62y228",62,228,68.9461642886253,-138.71117612945
"189","x62y229",62,229,68.9607014835898,-138.093968096588
"190","x62y230",62,230,68.9728241639206,-137.47604055265
"191","x62y231",62,231,68.982527783918,-136.857536191082
"192","x62y232",62,232,68.9898086975372,-136.2385985092
"193","x62y233",62,233,68.9946641646931,-135.619371609691
"194","x62y234",62,234,68.9970923560126,-135
"195","x62y235",62,235,68.9970923560126,-134.380628390309
"196","x62y236",62,236,68.9946641646931,-133.7614014908
"197","x62y237",62,237,68.9898086975372,-133.142463808918
"198","x62y238",62,238,68.982527783918,-132.52395944735
"199","x63y217",63,217,68.8483156472205,-145.52481086873
"200","x63y218",63,218,68.8893249104294,-144.918368952269
"201","x63y219",63,219,68.928001221809,-144.309674198089
"202","x63y220",63,220,68.9643305397475,-143.698852156335
"203","x63y221",63,221,68.9982995821528,-143.086031189154
"204","x63y222",63,222,69.0298958480342,-142.471342328373
"205","x63y223",63,223,69.0591076380524,-141.854919124563
"206","x63y224",63,224,69.0859240739628,-141.236897487842
"207","x63y225",63,225,69.1103351168778,-140.617415520861
"208","x63y226",63,226,69.132331584277,-139.996613344417
"209","x63y227",63,227,69.1519051656993,-139.374632916218
"210","x63y228",63,228,69.1690484370532,-138.751617843339
"211","x63y229",63,229,69.1837548734897,-138.127713188979
"212","x63y230",63,230,69.1960188607846,-137.503065274124
"213","x63y231",63,231,69.2058357051833,-136.877821474815
"214","x63y232",63,232,69.2132016416687,-136.252130015664
"215","x63y233",63,233,69.2181138406171,-135.626139760378
"216","x63y234",63,234,69.2205704128152,-135
