"","cell_id","x_grid","y_grid","lat","long","size"
"1","x65y231",65,231,69.5410602279117,-137.239475937952,504.005
"2","x66y230",66,230,69.7546303608083,-137.910837826168,572.528
"3","x66y231",66,231,69.7647408015385,-137.264754548224,572.425
"4","x67y230",67,230,69.9783349299196,-137.944046349988,490.224
"5","x67y231",67,231,69.9885674991487,-137.290610042639,491.24
"6","x67y232",67,232,69.9962456330097,-136.636577041617,492.253
"7","x67y233",67,233,70.0013661561657,-135.982117163224,493.261
"8","x67y234",67,234,70.0039269483268,-135.327400890845,494.266
"9","x68y226",68,226,70.1349996649926,-140.612203229325,576.33
"10","x68y227",68,227,70.1556448089253,-139.955448940052,576.4
"11","x68y228",68,228,70.1737283181437,-139.297386663942,576.461
"12","x68y229",68,229,70.1892426281215,-138.638186577865,576.514
"13","x68y230",68,230,70.2021812273766,-137.97802065195,576.557
"14","x68y231",68,231,70.2125386701025,-137.317062385871,576.592
"15","x68y232",68,232,70.2203105867837,-136.655486539119,576.618
"16","x68y233",68,233,70.225493692748,-135.993468856283,576.636
"17","x68y234",68,234,70.2280857946159,-135.331185788415,576.645
"18","x68y235",68,235,70.2280857946159,-134.668814211585,576.645
"19","x68y236",68,236,70.225493692748,-134.006531143718,576.636
"20","x68y237",68,237,70.2203105867837,-133.344513460881,576.618
"21","x68y238",68,238,70.2125386701025,-132.682937614129,576.592
"22","x69y225",69,225,70.3346788669173,-141.34019174591,506.018
"23","x69y226",69,226,70.3581607195418,-140.677416662045,505.049
"24","x69y227",69,227,70.3790588693949,-140.013113755036,504.076
"25","x69y228",69,228,70.3973644174872,-139.34745690756,503.098
"26","x69y229",69,229,70.4130695381103,-138.680622173031,502.117
"27","x69y230",69,230,70.4261674942809,-138.012787504183,501.13
"28","x69y231",69,231,70.4366526511153,-137.34413247407,500.14
"29","x69y232",69,232,70.4445204870726,-136.674837990529,499.146
"30","x69y233",69,233,70.4497676030137,-136.005086005254,498.147
"31","x69y234",69,234,70.4523917290335,-135.335059218609,497.145
"32","x69y235",69,235,70.4523917290335,-134.664940781391,496.138
"33","x69y236",69,236,70.4497676030137,-133.994913994746,495.128
"34","x69y237",69,237,70.4445204870726,-133.325162009471,494.113
"35","x69y238",69,238,70.4366526511153,-132.65586752593,493.095
"36","x70y224",70,224,70.5312923912373,-142.083285999753,577.064
"37","x70y225",70,225,70.5576691133859,-141.41460180734,577.291
"38","x70y226",70,226,70.5814410858068,-140.744158323767,577.51
"39","x70y227",70,227,70.6025980084597,-140.072132872515,577.72
"40","x70y228",70,228,70.6211306725124,-139.398705354996,577.921
"41","x70y229",70,229,70.6370309788129,-138.724057972748,578.114
"42","x70y230",70,230,70.6502919542492,-138.048374940298,578.298
"43","x70y231",70,231,70.6609077659212,-137.371842189789,578.474
"44","x70y232",70,232,70.6688737330559,-136.694647068537,578.64
"45","x70y233",70,233,70.67418633661,-136.016978030719,578.798
"46","x70y234",70,234,70.6768432265123,-135.339024324452,578.947
"47","x70y235",70,235,70.6768432265123,-134.660975675549,579.088
"48","x70y236",70,236,70.67418633661,-133.983021969281,579.22
"49","x70y237",70,237,70.6688737330559,-133.305352931463,579.343
"50","x70y238",70,238,70.6609077659212,-132.628157810211,579.457
"51","x71y220",71,220,70.6211306725124,-144.851327342808,528.283
"52","x71y221",71,221,70.6582532264148,-144.183919250844,527.411
"53","x71y222",71,222,70.6927928099071,-143.51398792975,526.533
"54","x71y223",71,223,70.7247344857627,-142.841703215103,525.649
"55","x71y224",71,224,70.754064346301,-142.16723872852,524.761
"56","x71y225",71,225,70.7807695408701,-141.490771634476,523.866
"57","x71y226",71,226,70.8048383015217,-140.812482383113,522.967
"58","x71y227",71,227,70.8262599667611,-140.132554439873,522.062
"59","x71y228",71,228,70.8450250032608,-139.451174002887,521.153
"60","x71y229",71,229,70.861125025435,-138.768529709135,520.238
"61","x71y230",71,230,70.8745528127817,-138.084812330498,519.317
"62","x71y231",71,231,70.8853023249091,-137.400214460857,518.392
"63","x71y232",71,232,70.8933687141724,-136.714930195527,517.462
"64","x71y233",71,233,70.8987483358586,-136.029154804306,516.527
"65","x71y234",71,234,70.9014387558706,-135.343084399524,515.587
"66","x71y235",71,235,70.9014387558706,-134.656915600477,514.643
"67","x71y236",71,236,70.8987483358586,-133.970845195694,513.693
"68","x71y237",71,237,70.8933687141724,-133.285069804474,512.739
"69","x71y238",71,238,70.8853023249091,-132.599785539143,511.78
"70","x72y218",72,218,70.7594022034735,-146.30993247402,573.28
"71","x72y219",72,219,70.8021623961297,-145.640619702411,573.696
"72","x72y220",72,220,70.8423430768576,-144.968356170474,574.104
"73","x72y221",72,221,70.8799267589085,-144.293308599397,574.503
"74","x72y222",72,222,70.9148969545082,-143.615648184164,574.894
"75","x72y223",72,223,70.9472382073461,-142.935550370089,575.276
"76","x72y224",72,224,70.9769361234385,-142.253194612725,575.651
