"date","year","month","day","doy","sea_ice_extent","site_name"
1988-01-13,1988,1,13,13,NA,"QHI"
1988-01-14,1988,1,14,14,84245.454,"QHI"
1988-01-15,1988,1,15,15,84245.454,"QHI"
1988-01-16,1988,1,16,16,84245.454,"QHI"
1988-01-17,1988,1,17,17,84245.454,"QHI"
1988-01-18,1988,1,18,18,84245.454,"QHI"
1988-01-19,1988,1,19,19,84245.454,"QHI"
1988-01-20,1988,1,20,20,84245.454,"QHI"
1988-01-21,1988,1,21,21,84245.454,"QHI"
1988-01-22,1988,1,22,22,84245.454,"QHI"
1988-01-23,1988,1,23,23,84245.454,"QHI"
1988-01-24,1988,1,24,24,84245.454,"QHI"
1988-01-25,1988,1,25,25,84245.454,"QHI"
1988-01-26,1988,1,26,26,84245.454,"QHI"
1988-01-27,1988,1,27,27,84245.454,"QHI"
1988-01-28,1988,1,28,28,NA,"QHI"
1988-01-29,1988,1,29,29,84245.454,"QHI"
1988-01-30,1988,1,30,30,84245.454,"QHI"
1988-01-31,1988,1,31,31,84245.454,"QHI"
1988-02-01,1988,2,1,32,84245.454,"QHI"
1988-02-02,1988,2,2,33,84245.454,"QHI"
1988-02-03,1988,2,3,34,84245.454,"QHI"
1988-02-04,1988,2,4,35,84245.454,"QHI"
1988-02-05,1988,2,5,36,84245.454,"QHI"
1988-02-06,1988,2,6,37,84245.454,"QHI"
1988-02-07,1988,2,7,38,84245.454,"QHI"
1988-02-08,1988,2,8,39,84245.454,"QHI"
1988-02-09,1988,2,9,40,84245.454,"QHI"
1988-02-10,1988,2,10,41,84245.454,"QHI"
1988-02-11,1988,2,11,42,84245.454,"QHI"
1988-02-12,1988,2,12,43,84245.454,"QHI"
1988-02-13,1988,2,13,44,84245.454,"QHI"
1988-02-14,1988,2,14,45,84245.454,"QHI"
1988-02-15,1988,2,15,46,84245.454,"QHI"
1988-02-16,1988,2,16,47,84245.454,"QHI"
1988-02-17,1988,2,17,48,84245.454,"QHI"
1988-02-18,1988,2,18,49,84245.454,"QHI"
1988-02-19,1988,2,19,50,84245.454,"QHI"
