"","corner","x_grid","y_grid","latitude","longitude"
"1","x172y286",172,286,77.4577774048072,-25.7362345989717
"2","x172y287",172,287,77.2422451892722,-26.0767821591973
"3","x172y288",172,288,77.0263677822795,-26.4059178500156
"4","x172y289",172,289,76.8101685126533,-26.7241851590991
"5","x172y290",172,290,76.5936693379199,-27.0320949540626
"6","x172y291",172,291,76.3768909475523,-27.3301277834756
"7","x172y292",172,292,76.1598528572685,-27.6187359965925
"8","x172y293",172,293,75.9425734952451,-27.8983456970045
"9","x172y294",172,294,75.7250702810142,-28.1693585441422
"10","x172y295",172,295,75.5073596977371,-28.4321534153787
"11","x172y296",172,296,75.2894573584748,-28.6870879403929
"12","x172y297",172,297,75.0713780670106,-28.9344999184501
"13","x172y298",172,298,74.8531358737277,-29.1747086283302
"14","x172y299",172,299,74.634744126991,-29.4080160397961
"15","x172y300",172,300,74.4162155204384,-29.6347079347122
"16","x172y301",172,301,74.1975621365484,-29.8550549452251
"17","x172y302",172,302,73.9787954868108,-30.0693135157689
"18","x172y303",172,303,73.7599265488015,-30.2777267950696
"19","x172y304",172,304,73.5409658004286,-30.4805254637911
"20","x172y305",172,305,73.3219232515911,-30.6779285029743
"21","x172y306",172,306,73.1028084734743,-30.8701439079763
"22","x172y307",172,307,72.8836306256777,-31.0573693522169
"23","x172y308",172,308,72.6643984813583,-31.2397928046646
"24","x173y286",173,286,77.3806690894029,-24.7509100586323
"25","x173y287",173,287,77.166472003279,-25.10603896374
"26","x173y288",173,288,76.9518884574551,-25.449406206719
"27","x173y289",173,289,76.7369435517443,-25.7815630857815
"28","x173y290",173,290,76.5216609239193,-26.1030285006917
"29","x173y291",173,291,76.3060628578677,-26.4142911745299
"30","x173y292",173,292,76.0901703825799,-26.7158117072075
"31","x173y293",173,293,75.8740033628279,-27.0080244740052
"32","x173y294",173,294,75.657580582306,-27.2913393814189
"33","x173y295",173,295,75.4409198199274,-27.5661434916598
"34","x173y296",173,296,75.2240379199029,-27.8328025262627
"35","x173y297",173,297,75.0069508561635,-28.0916622584338
"36","x173y298",173,298,74.7896737916388,-28.3430498029917
"37","x173y299",173,299,74.5722211328452,-28.5872748120388
"38","x173y300",173,300,74.3546065802007,-28.8246305838361
"39","x173y301",173,301,74.136843174441,-29.0553950917396
"40","x173y302",173,302,73.9189433394736,-29.2798319394943
"41","x173y303",173,303,73.7009189219769,-29.4981912486576
"42","x173y304",173,304,73.4827812280224,-29.7107104834509
"43","x173y305",173,305,73.2645410569703,-29.9176152178983
"44","x173y306",173,306,73.0462087328675,-30.119119849709
"45","x173y307",173,307,72.8277941335554,-30.3154282649952
"46","x173y308",173,308,72.6093067176739,-30.5067344575778
"47","x174y286",174,286,77.2999151170092,-23.7779270531861
"48","x174y287",174,287,77.087099605078,-24.147051635442
"49","x174y288",174,288,76.8738557531344,-24.504099532663
"50","x174y289",174,289,76.6602104063304,-24.8496274518378
"51","x174y290",174,290,76.4461888625041,-25.1841601054977
"52","x174y291",174,291,76.2318149845329,-25.5081923399319
"53","x174y292",174,292,76.0171113033869,-25.8221911092161
"54","x174y293",174,293,75.8020991127237,-26.1265973063627
"55","x174y294",174,294,75.5867985557911,-26.4218274621758
"56","x174y295",174,295,75.3712287053227,-26.7082753216986
"57","x174y296",174,296,75.1554076370534,-26.9863133074482
"58","x174y297",174,297,74.9393524974174,-27.256293877986
"59","x174y298",174,298,74.7230795659385,-27.5185507897414
"60","x174y299",174,299,74.5066043127753,-27.7734002694237
"61","x174y300",174,300,74.2899414518395,-28.0211421038013
"62","x174y301",174,301,74.0731049898679,-28.2620606531076
"63","x174y302",174,302,73.8561082717893,-28.4964257938563
"64","x174y303",174,303,73.6389640227018,-28.7244937963935
"65","x174y304",174,304,73.4216843867412,-28.9465081421017
"66","x174y305",174,305,73.2042809631002,-29.1627002847861
"67","x174y306",174,306,72.986764839431,-29.3732903604153
"68","x174y307",174,307,72.7691466228461,-29.5784878490617
"69","x174y308",174,308,72.5514364687095,-29.7784921925855
"70","x175y286",175,286,77.2155870140157,-22.8176056069443
"71","x175y287",175,287,77.0041963426644,-23.2001352823326
"72","x175y288",175,288,76.7923350120479,-23.5703075088571
"73","x175y289",175,289,76.5800315764942,-23.9286821099812
"74","x175y290",175,290,76.3673129638497,-24.2757874847928
"75","x175y291",175,291,76.1542045912917,-24.6121226306443
"76","x175y292",175,292,75.9407304717901,-24.9381590263915
"77","x175y293",175,293,75.7269133120401,-25.2543423855683
"78","x175y294",175,294,75.5127746026125,-25.5610942883732
"79","x175y295",175,295,75.298334700996,-25.8588137008688
"80","x175y296",175,296,75.0836129081483,-26.1478783893046
"81","x175y297",175,297,74.8686275391138,-26.4286462369936
"82","x175y298",175,298,74.6533959882142,-26.7014564706929
"83","x175y299",175,299,74.4379347892734,-26.9666308029832
"84","x175y300",175,300,74.2222596712944,-27.2244744966951
"85","x175y301",175,301,74.006385609971,-27.4752773570128
"86","x175y302",175,302,73.7903268753779,-27.7193146564848
"87","x175y303",175,303,73.5740970761562,-27.9568479977952
"88","x175y304",175,304,73.3577092004815,-28.1881261187965
"89","x175y305",175,305,73.1411756540737,-28.4133856439746
"90","x175y306",175,306,72.9245082954903,-28.6328517862061
"91","x175y307",175,307,72.7077184689175,-28.8467390023843
