"","corner","x_grid","y_grid","latitude","longitude"
"1","x172y286",172,286,77.3873174087663,-26.3984955551173
"2","x172y287",172,287,77.1709672715082,-26.7259926847774
"3","x172y288",172,288,76.9543036210073,-27.0425310704929
"4","x172y289",172,289,76.7373482332289,-27.3486333397782
"5","x172y290",172,290,76.5201216098,-27.6447906052496
"6","x172y291",172,291,76.3026430742175,-27.9314647076526
"7","x172y292",172,292,76.0849308596736,-28.2090902794648
"8","x172y293",172,293,75.8670021893091,-28.478076644521
"9","x172y294",172,294,75.648873349624,-28.7388095677399
"10","x172y295",172,295,75.4305597576956,-28.9916528677968
"11","x172y296",172,296,75.212076022791,-29.2369499044351
"12","x172y297",172,297,74.9934360028933,-29.4750249510747
"13","x172y298",172,298,74.774652856617,-29.7061844624159
"14","x172y299",172,299,74.5557390909306,-29.9307182458765
"15","x172y300",172,300,74.3367066050702,-30.1489005449043
"16","x172y301",172,301,74.1175667309835,-30.3609910414946
"17","x172y302",172,302,73.8983302706141,-30.5672357845875
"18","x172y303",172,303,73.6790075303042,-30.7678680504261
"19","x172y304",172,304,73.4596083525665,-30.9631091404236
"20","x172y305",172,305,73.240142145452,-31.1531691215935
"21","x172y306",172,306,73.02061790972,-31.3382475141578
"22","x172y307",172,307,72.8010442639959,-31.5185339305438
"23","x172y308",172,308,72.5814294680843,-31.6942086696162
"24","x173y286",173,286,77.3127051853132,-25.4145212030516
"25","x173y287",173,287,77.0976457000434,-25.7567073244355
"26","x173y288",173,288,76.8822326739256,-26.0875719386217
"27","x173y289",173,289,76.6664896173444,-26.4076467733834
"28","x173y290",173,290,76.4504386756722,-26.7174321322886
"29","x173y291",173,291,76.2341007306032,-27.0173990724156
"30","x173y292",173,292,76.0174954928401,-27.3079914141322
"31","x173y293",173,293,75.8006415869502,-27.5896275966257
"32","x173y294",173,294,75.5835566291274,-27.8627023917809
"33","x173y295",173,295,75.3662572985164,-28.1275884879748
"34","x173y296",173,296,75.1487594026945,-28.3846379544079
"35","x173y297",173,297,74.9310779378449,-28.6341835957056
"36","x173y298",173,298,74.7132271441017,-28.8765402057104
"37","x173y299",173,299,74.4952205564989,-29.1120057286318
"38","x173y300",173,300,74.2770710519167,-29.3408623350331
"39","x173y301",173,301,74.0587908923757,-29.5633774194994
"40","x173y302",173,302,73.8403917649982,-29.779804526251
"41","x173y303",173,303,73.6218848189259,-29.9903842084345
"42","x173y304",173,304,73.4032806994532,-30.1953448263417
"43","x173y305",173,305,73.1845895796135,-30.3949032893571
"44","x173y306",173,306,72.965821189432,-30.5892657460355
"45","x173y307",173,307,72.7469848430402,-30.7786282263378
"46","x173y308",173,308,72.5280894638266,-30.9631772397166
"47","x174y286",174,286,77.2344359073687,-24.4424278193207
"48","x174y287",174,287,77.0207147606907,-24.7987378460235
"49","x174y288",174,288,76.8065993352739,-25.1433973538788
"50","x174y289",174,289,76.5921148583193,-25.4769448130898
