"","site_name","date","year","month","day","doy","sea_ice_extent"
"1","ZACKENBERG",1988-01-13,"1988","01","13","013",102665
"2","ZACKENBERG",1988-01-14,"1988","01","14","014",104590
"3","ZACKENBERG",1988-01-15,"1988","01","15","015",105875
"4","ZACKENBERG",1988-01-16,"1988","01","16","016",104590
"5","ZACKENBERG",1988-01-17,"1988","01","17","017",104590
"6","ZACKENBERG",1988-01-18,"1988","01","18","018",105875
"7","ZACKENBERG",1988-01-19,"1988","01","19","019",105875
"8","ZACKENBERG",1988-01-20,"1988","01","20","020",105875
"9","ZACKENBERG",1988-01-21,"1988","01","21","021",105875
"10","ZACKENBERG",1988-01-22,"1988","01","22","022",105875
"11","ZACKENBERG",1988-01-23,"1988","01","23","023",105875
"12","ZACKENBERG",1988-01-24,"1988","01","24","024",105875
"13","ZACKENBERG",1988-01-25,"1988","01","25","025",105875
"14","ZACKENBERG",1988-01-26,"1988","01","26","026",105875
"15","ZACKENBERG",1988-01-27,"1988","01","27","027",105875
"16","ZACKENBERG",1988-01-28,"1988","01","28","028",105875
"17","ZACKENBERG",1988-01-29,"1988","01","29","029",105875
"18","ZACKENBERG",1988-01-30,"1988","01","30","030",105875
"19","ZACKENBERG",1988-01-31,"1988","01","31","031",105875
"20","ZACKENBERG",1988-02-01,"1988","02","01","032",105875
"21","ZACKENBERG",1988-02-02,"1988","02","02","033",105875
"22","ZACKENBERG",1988-02-03,"1988","02","03","034",105875
"23","ZACKENBERG",1988-02-04,"1988","02","04","035",105875
"24","ZACKENBERG",1988-02-05,"1988","02","05","036",105875
"25","ZACKENBERG",1988-02-06,"1988","02","06","037",105875
"26","ZACKENBERG",1988-02-07,"1988","02","07","038",105233
"27","ZACKENBERG",1988-02-08,"1988","02","08","039",105233
"28","ZACKENBERG",1988-02-09,"1988","02","09","040",103950
"29","ZACKENBERG",1988-02-10,"1988","02","10","041",104591
"30","ZACKENBERG",1988-02-11,"1988","02","11","042",103310
"31","ZACKENBERG",1988-02-12,"1988","02","12","043",99466
"32","ZACKENBERG",1988-02-13,"1988","02","13","044",97546
"33","ZACKENBERG",1988-02-14,"1988","02","14","045",94996
"34","ZACKENBERG",1988-02-15,"1988","02","15","046",86681
"35","ZACKENBERG",1988-02-16,"1988","02","16","047",87953
"36","ZACKENBERG",1988-02-17,"1988","02","17","048",90502
"37","ZACKENBERG",1988-02-18,"1988","02","18","049",87952
"38","ZACKENBERG",1988-02-19,"1988","02","19","050",90501
"39","ZACKENBERG",1988-02-20,"1988","02","20","051",91779
"40","ZACKENBERG",1988-02-21,"1988","02","21","052",88588
"41","ZACKENBERG",1988-02-22,"1988","02","22","053",83461
"42","ZACKENBERG",1988-02-23,"1988","02","23","054",82827
"43","ZACKENBERG",1988-02-24,"1988","02","24","055",88588
"44","ZACKENBERG",1988-02-25,"1988","02","25","056",86675
"45","ZACKENBERG",1988-02-26,"1988","02","26","057",95629
"46","ZACKENBERG",1988-02-27,"1988","02","27","058",100106
"47","ZACKENBERG",1988-02-28,"1988","02","28","059",97556
"48","ZACKENBERG",1988-02-29,"1988","02","29","060",101392
"49","ZACKENBERG",1988-03-01,"1988","03","01","061",102670
"50","ZACKENBERG",1988-03-02,"1988","03","02","062",102673
"51","ZACKENBERG",1988-03-03,"1988","03","03","063",105875
"52","ZACKENBERG",1988-03-04,"1988","03","04","064",105875
"53","ZACKENBERG",1988-03-05,"1988","03","05","065",105875
"54","ZACKENBERG",1988-03-06,"1988","03","06","066",105875
"55","ZACKENBERG",1988-03-07,"1988","03","07","067",105875
"56","ZACKENBERG",1988-03-08,"1988","03","08","068",105875
"57","ZACKENBERG",1988-03-09,"1988","03","09","069",105875
"58","ZACKENBERG",1988-03-10,"1988","03","10","070",105875
"59","ZACKENBERG",1988-03-11,"1988","03","11","071",105875
"60","ZACKENBERG",1988-03-12,"1988","03","12","072",105875
"61","ZACKENBERG",1988-03-13,"1988","03","13","073",105875
"62","ZACKENBERG",1988-03-14,"1988","03","14","074",105875
"63","ZACKENBERG",1988-03-15,"1988","03","15","075",105875
"64","ZACKENBERG",1988-03-16,"1988","03","16","076",105875
"65","ZACKENBERG",1988-03-17,"1988","03","17","077",105875
"66","ZACKENBERG",1988-03-18,"1988","03","18","078",105875
"67","ZACKENBERG",1988-03-19,"1988","03","19","079",105875
"68","ZACKENBERG",1988-03-20,"1988","03","20","080",105875
"69","ZACKENBERG",1988-03-21,"1988","03","21","081",105875
"70","ZACKENBERG",1988-03-22,"1988","03","22","082",105875
"71","ZACKENBERG",1988-03-23,"1988","03","23","083",105875
"72","ZACKENBERG",1988-03-24,"1988","03","24","084",105875
"73","ZACKENBERG",1988-03-25,"1988","03","25","085",105875
"74","ZACKENBERG",1988-03-26,"1988","03","26","086",105875
"75","ZACKENBERG",1988-03-27,"1988","03","27","087",105875
"76","ZACKENBERG",1988-03-28,"1988","03","28","088",105875
"77","ZACKENBERG",1988-03-29,"1988","03","29","089",105875
"78","ZACKENBERG",1988-03-30,"1988","03","30","090",105875
"79","ZACKENBERG",1988-03-31,"1988","03","31","091",105875
"80","ZACKENBERG",1988-04-01,"1988","04","01","092",105875
"81","ZACKENBERG",1988-04-02,"1988","04","02","093",105875
"82","ZACKENBERG",1988-04-03,"1988","04","03","094",105875
"83","ZACKENBERG",1988-04-04,"1988","04","04","095",105875
"84","ZACKENBERG",1988-04-05,"1988","04","05","096",105875
"85","ZACKENBERG",1988-04-06,"1988","04","06","097",105875
"86","ZACKENBERG",1988-04-07,"1988","04","07","098",105875
"87","ZACKENBERG",1988-04-08,"1988","04","08","099",105875
