"","site_name","date","year","month","day","doy","sea_ice_extent"
"1","ZACKENBERG",1990-01-01,"1990","01","01","001",100742
"2","ZACKENBERG",1990-01-02,"1990","01","02","002",100742
"3","ZACKENBERG",1990-01-03,"1990","01","03","003",100742
"4","ZACKENBERG",1990-01-04,"1990","01","04","004",100742
"5","ZACKENBERG",1990-01-05,"1990","01","05","005",100742
"6","ZACKENBERG",1990-01-06,"1990","01","06","006",100742
"7","ZACKENBERG",1990-01-07,"1990","01","07","007",100742
"8","ZACKENBERG",1990-01-08,"1990","01","08","008",100742
"9","ZACKENBERG",1990-01-09,"1990","01","09","009",100742
"10","ZACKENBERG",1990-01-10,"1990","01","10","010",100742
"11","ZACKENBERG",1990-01-11,"1990","01","11","011",100742
"12","ZACKENBERG",1990-01-12,"1990","01","12","012",100742
"13","ZACKENBERG",1990-01-13,"1990","01","13","013",98872
"14","ZACKENBERG",1990-01-14,"1990","01","14","014",97651
"15","ZACKENBERG",1990-01-15,"1990","01","15","015",98956
"16","ZACKENBERG",1990-01-16,"1990","01","16","016",100742
"17","ZACKENBERG",1990-01-17,"1990","01","17","017",100742
"18","ZACKENBERG",1990-01-18,"1990","01","18","018",100742
"19","ZACKENBERG",1990-01-19,"1990","01","19","019",100742
"20","ZACKENBERG",1990-01-20,"1990","01","20","020",99574
"21","ZACKENBERG",1990-01-21,"1990","01","21","021",97824
"22","ZACKENBERG",1990-01-22,"1990","01","22","022",93351
"23","ZACKENBERG",1990-01-23,"1990","01","23","023",91080
"24","ZACKENBERG",1990-01-24,"1990","01","24","024",88072
"25","ZACKENBERG",1990-01-25,"1990","01","25","025",86948
"26","ZACKENBERG",1990-01-26,"1990","01","26","026",85159
"27","ZACKENBERG",1990-01-27,"1990","01","27","027",77969
"28","ZACKENBERG",1990-01-28,"1990","01","28","028",77818
"29","ZACKENBERG",1990-01-29,"1990","01","29","029",78264
"30","ZACKENBERG",1990-01-30,"1990","01","30","030",81809
"31","ZACKENBERG",1990-01-31,"1990","01","31","031",81882
"32","ZACKENBERG",1990-02-01,"1990","02","01","032",77956
"33","ZACKENBERG",1990-02-02,"1990","02","02","033",74313
