"site_name","date","year","month","day","doy","temp"
"BARROW",1994-01-01,1994,1,1,"001",-16.9
"BARROW",1994-01-02,1994,1,2,"002",-19.2
"BARROW",1994-01-03,1994,1,3,"003",-18.6
"BARROW",1994-01-04,1994,1,4,"004",-19.2
"BARROW",1994-01-05,1994,1,5,"005",-20.2
"BARROW",1994-01-06,1994,1,6,"006",-25.6
"BARROW",1994-01-07,1994,1,7,"007",-27.9
"BARROW",1994-01-08,1994,1,8,"008",-27.3
"BARROW",1994-01-09,1994,1,9,"009",-22.1
"BARROW",1994-01-10,1994,1,10,"010",-25.2
"BARROW",1994-01-11,1994,1,11,"011",-23.5
"BARROW",1994-01-12,1994,1,12,"012",-25.4
"BARROW",1994-01-13,1994,1,13,"013",-22.2
"BARROW",1994-01-14,1994,1,14,"014",-22.1
"BARROW",1994-01-15,1994,1,15,"015",-22.5
"BARROW",1994-01-16,1994,1,16,"016",-21.9
"BARROW",1994-01-17,1994,1,17,"017",-18.8
"BARROW",1994-01-18,1994,1,18,"018",-17.5
"BARROW",1994-01-19,1994,1,19,"019",-21
"BARROW",1994-01-20,1994,1,20,"020",-28.4
"BARROW",1994-01-21,1994,1,21,"021",-26.9
"BARROW",1994-01-22,1994,1,22,"022",-26.8
"BARROW",1994-01-23,1994,1,23,"023",-26.4
"BARROW",1994-01-24,1994,1,24,"024",-24.4
"BARROW",1994-01-25,1994,1,25,"025",-22
"BARROW",1994-01-26,1994,1,26,"026",-22.6
"BARROW",1994-01-27,1994,1,27,"027",-24.4
"BARROW",1994-01-28,1994,1,28,"028",-30.6
"BARROW",1994-01-29,1994,1,29,"029",-27.3
"BARROW",1994-01-30,1994,1,30,"030",-19.7
"BARROW",1994-01-31,1994,1,31,"031",-15.8
"BARROW",1994-02-01,1994,2,1,"032",-14.8
"BARROW",1994-02-02,1994,2,2,"033",-13.5
"BARROW",1994-02-03,1994,2,3,"034",-4.7
"BARROW",1994-02-04,1994,2,4,"035",-8
"BARROW",1994-02-05,1994,2,5,"036",-8.2
"BARROW",1994-02-06,1994,2,6,"037",-17
"BARROW",1994-02-07,1994,2,7,"038",-17.2
"BARROW",1994-02-08,1994,2,8,"039",-18.3
"BARROW",1994-02-09,1994,2,9,"040",-23.7
"BARROW",1994-02-10,1994,2,10,"041",-23.9
"BARROW",1994-02-11,1994,2,11,"042",-20.8
"BARROW",1994-02-12,1994,2,12,"043",-22
"BARROW",1994-02-13,1994,2,13,"044",-21.4
"BARROW",1994-02-14,1994,2,14,"045",-21.6
"BARROW",1994-02-15,1994,2,15,"046",-24.5
"BARROW",1994-02-16,1994,2,16,"047",-28.5
"BARROW",1994-02-17,1994,2,17,"048",-30.6
"BARROW",1994-02-18,1994,2,18,"049",-32.5
"BARROW",1994-02-19,1994,2,19,"050",-30.8
"BARROW",1994-02-20,1994,2,20,"051",-29.2
"BARROW",1994-02-21,1994,2,21,"052",-31.9
"BARROW",1994-02-22,1994,2,22,"053",-22.4
"BARROW",1994-02-23,1994,2,23,"054",-25.3
"BARROW",1994-02-24,1994,2,24,"055",-26.7
"BARROW",1994-02-25,1994,2,25,"056",-29.7
"BARROW",1994-02-26,1994,2,26,"057",-25.9
"BARROW",1994-02-27,1994,2,27,"058",-31.8
"BARROW",1994-02-28,1994,2,28,"059",-33.6
"BARROW",1994-03-01,1994,3,1,"060",-34.5
"BARROW",1994-03-02,1994,3,2,"061",-29.4
"BARROW",1994-03-03,1994,3,3,"062",-28.8
"BARROW",1994-03-04,1994,3,4,"063",-28.3
"BARROW",1994-03-05,1994,3,5,"064",-28
"BARROW",1994-03-06,1994,3,6,"065",-30.5
"BARROW",1994-03-07,1994,3,7,"066",-30.9
"BARROW",1994-03-08,1994,3,8,"067",-30.4
"BARROW",1994-03-09,1994,3,9,"068",-28
"BARROW",1994-03-10,1994,3,10,"069",-27.4
"BARROW",1994-03-11,1994,3,11,"070",-24.9
"BARROW",1994-03-12,1994,3,12,"071",-21.7
"BARROW",1994-03-13,1994,3,13,"072",-20.7
"BARROW",1994-03-14,1994,3,14,"073",-25.8
"BARROW",1994-03-15,1994,3,15,"074",-31
"BARROW",1994-03-16,1994,3,16,"075",-30.2
"BARROW",1994-03-17,1994,3,17,"076",-29.7
"BARROW",1994-03-18,1994,3,18,"077",-33
"BARROW",1994-03-19,1994,3,19,"078",-34.1
"BARROW",1994-03-20,1994,3,20,"079",-35.9
"BARROW",1994-03-21,1994,3,21,"080",-37.1
"BARROW",1994-03-22,1994,3,22,"081",-36
"BARROW",1994-03-23,1994,3,23,"082",-34.4
"BARROW",1994-03-24,1994,3,24,"083",-28.4
"BARROW",1994-03-25,1994,3,25,"084",-24.8
"BARROW",1994-03-26,1994,3,26,"085",-24.3
"BARROW",1994-03-27,1994,3,27,"086",-30.1
"BARROW",1994-03-28,1994,3,28,"087",-30.1
"BARROW",1994-03-29,1994,3,29,"088",-17.9
"BARROW",1994-03-30,1994,3,30,"089",NA
"BARROW",1994-03-31,1994,3,31,"090",-22.5
"BARROW",1994-04-01,1994,4,1,"091",-20.9
"BARROW",1994-04-02,1994,4,2,"092",-14.8
"BARROW",1994-04-03,1994,4,3,"093",-12.5
"BARROW",1994-04-04,1994,4,4,"094",-6.5
"BARROW",1994-04-05,1994,4,5,"095",-11
"BARROW",1994-04-06,1994,4,6,"096",-16
"BARROW",1994-04-07,1994,4,7,"097",-22.1
"BARROW",1994-04-08,1994,4,8,"098",-21.9
"BARROW",1994-04-09,1994,4,9,"099",-22.1
"BARROW",1994-04-10,1994,4,10,"100",-22.1
"BARROW",1994-04-11,1994,4,11,"101",-23.8
"BARROW",1994-04-12,1994,4,12,"102",-23.3
"BARROW",1994-04-13,1994,4,13,"103",NA
"BARROW",1994-04-14,1994,4,14,"104",NA
"BARROW",1994-04-15,1994,4,15,"105",-24.9
"BARROW",1994-04-16,1994,4,16,"106",-25
"BARROW",1994-04-17,1994,4,17,"107",-22.6
"BARROW",1994-04-18,1994,4,18,"108",-27.1
"BARROW",1994-04-19,1994,4,19,"109",-28
"BARROW",1994-04-20,1994,4,20,"110",-27.1
"BARROW",1994-04-21,1994,4,21,"111",-21.6
"BARROW",1994-04-22,1994,4,22,"112",-15.6
"BARROW",1994-04-23,1994,4,23,"113",-12.7
"BARROW",1994-04-24,1994,4,24,"114",-12.3
"BARROW",1994-04-25,1994,4,25,"115",-10.5
"BARROW",1994-04-26,1994,4,26,"116",-9.3
"BARROW",1994-04-27,1994,4,27,"117",-11.1
"BARROW",1994-04-28,1994,4,28,"118",-10.4
"BARROW",1994-04-29,1994,4,29,"119",-11.3
"BARROW",1994-04-30,1994,4,30,"120",-9
"BARROW",1994-05-01,1994,5,1,"121",-8.5
"BARROW",1994-05-02,1994,5,2,"122",-10.9
"BARROW",1994-05-03,1994,5,3,"123",-12.7
"BARROW",1994-05-04,1994,5,4,"124",-7.8
"BARROW",1994-05-05,1994,5,5,"125",-6.6
"BARROW",1994-05-06,1994,5,6,"126",-5.2
"BARROW",1994-05-07,1994,5,7,"127",-8
"BARROW",1994-05-08,1994,5,8,"128",-9.9
"BARROW",1994-05-09,1994,5,9,"129",-9.1
"BARROW",1994-05-10,1994,5,10,"130",-11.6
"BARROW",1994-05-11,1994,5,11,"131",-12.4
"BARROW",1994-05-12,1994,5,12,"132",-13.5
"BARROW",1994-05-13,1994,5,13,"133",-14.3
"BARROW",1994-05-14,1994,5,14,"134",-14.4
"BARROW",1994-05-15,1994,5,15,"135",-12.9
"BARROW",1994-05-16,1994,5,16,"136",-11.2
"BARROW",1994-05-17,1994,5,17,"137",-6.7
"BARROW",1994-05-18,1994,5,18,"138",-5.8
"BARROW",1994-05-19,1994,5,19,"139",-4.3
"BARROW",1994-05-20,1994,5,20,"140",0.4
"BARROW",1994-05-21,1994,5,21,"141",-0.1
"BARROW",1994-05-22,1994,5,22,"142",-1.9
"BARROW",1994-05-23,1994,5,23,"143",-2.7
"BARROW",1994-05-24,1994,5,24,"144",-3
"BARROW",1994-05-25,1994,5,25,"145",-4
"BARROW",1994-05-26,1994,5,26,"146",-5.8
"BARROW",1994-05-27,1994,5,27,"147",-7.5
"BARROW",1994-05-28,1994,5,28,"148",-7.5
"BARROW",1994-05-29,1994,5,29,"149",-7.9
"BARROW",1994-05-30,1994,5,30,"150",-7.9
"BARROW",1994-05-31,1994,5,31,"151",-7.2
"BARROW",1994-06-01,1994,6,1,"152",-6.6
"BARROW",1994-06-02,1994,6,2,"153",-6.7
"BARROW",1994-06-03,1994,6,3,"154",-3
"BARROW",1994-06-04,1994,6,4,"155",-3.2
"BARROW",1994-06-05,1994,6,5,"156",-1.7
"BARROW",1994-06-06,1994,6,6,"157",-1.5
"BARROW",1994-06-07,1994,6,7,"158",-0.3
"BARROW",1994-06-08,1994,6,8,"159",0.7
"BARROW",1994-06-09,1994,6,9,"160",0
"BARROW",1994-06-10,1994,6,10,"161",-0.1
"BARROW",1994-06-11,1994,6,11,"162",0.8
"BARROW",1994-06-12,1994,6,12,"163",1.1
"BARROW",1994-06-13,1994,6,13,"164",1.8
"BARROW",1994-06-14,1994,6,14,"165",2.5
"BARROW",1994-06-15,1994,6,15,"166",-0.1
"BARROW",1994-06-16,1994,6,16,"167",-0.2
"BARROW",1994-06-17,1994,6,17,"168",-1.5
"BARROW",1994-06-18,1994,6,18,"169",-0.3
