"Station Name","KOMAKUK BEACH"
"Province","YUKON TERRITORY"
"Latitude","69.61"
"Longitude","-140.20"
"Elevation","13.20"
"Climate Identifier","2100682"
"WMO Identifier","71046"
"TC Identifier","WKM"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2017-01-01","2017","01","01","†","","M","","M","","M","","M","","M","","M","","M","","M","","","10","","32",""
"2017-01-02","2017","01","02","†","","M","","M","","M","","M","","M","","M","","M","","M","","","15","","39",""
"2017-01-03","2017","01","03","†","","M","","M","","M","","M","","M","","M","","M","","M","","","26","","39",""
"2017-01-04","2017","01","04","†","","M","","M","","M","","M","","M","","M","","M","","M","","","28","","43",""
"2017-01-05","2017","01","05","†","","M","","M","","M","","M","","M","","M","","M","","M","","","","","<31",""
"2017-01-06","2017","01","06","†","","M","","M","","M","","M","","M","","M","","M","","M","","","29","","104",""
"2017-01-07","2017","01","07","†","","M","","M","","M","","M","","M","","M","","M","","M","","","29","","82",""
"2017-01-08","2017","01","08","†","","M","","M","","M","","M","","M","","M","","M","","M","","","28","","46",""
"2017-01-09","2017","01","09","†","","M","","M","","M","","M","","M","","M","","M","","M","","","28","","63",""
"2017-01-10","2017","01","10","†","","M","","M","","M","","M","","M","","M","","M","","M","","","26","","50",""
"2017-01-11","2017","01","11","†","","M","","M","","M","","M","","M","","M","","M","","M","","","28","","63",""
"2017-01-12","2017","01","12","†","","M","","M","","M","","M","","M","","M","","M","","M","","","28","","65",""
"2017-01-13","2017","01","13","†","","M","","M","","M","","M","","M","","M","","M","","M","","","","","<31",""
"2017-01-14","2017","01","14","†","","M","","M","","M","","M","","M","","M","","M","","M","","","10","","48",""
"2017-01-15","2017","01","15","†","","M","","M","","M","","M","","M","","M","","M","","M","","","26","","67",""
"2017-01-16","2017","01","16","†","","M","","M","","M","","M","","M","","M","","M","","M","","","27","","59",""
"2017-01-17","2017","01","17","†","","M","","M","","M","","M","","M","","M","","M","","M","","","27","","39",""
"2017-01-18","2017","01","18","†","","M","","M","","M","","M","","M","","M","","M","","M","","","24","","32",""
"2017-01-19","2017","01","19","†","","M","","M","","M","","M","","M","","M","","M","","M","","","","","<31",""
"2017-01-20","2017","01","20","†","","M","","M","","M","","M","","M","","M","","M","","M","","","","","<31",""
"2017-01-21","2017","01","21","†","","M","","M","","M","","M","","M","","M","","M","","M","","","24","","32",""
"2017-01-22","2017","01","22","†","","M","","M","","M","","M","","M","","M","","M","","M","","","","","<31",""
"2017-01-23","2017","01","23","†","","M","","M","","M","","M","","M","","M","","M","","M","","","9","","69",""
"2017-01-24","2017","01","24","†","","M","","M","","M","","M","","M","","M","","M","","M","","","10","","83",""
"2017-01-25","2017","01","25","†","","M","","M","","M","","M","","M","","M","","M","","M","","","9","","32",""
"2017-01-26","2017","01","26","†","","M","","M","","M","","M","","M","","M","","M","","M","","","10","","44",""
"2017-01-27","2017","01","27","†","","M","","M","","M","","M","","M","","M","","M","","M","","","9","","65",""
"2017-01-28","2017","01","28","†","","M","","M","","M","","M","","M","","M","","M","","M","","","27","","32",""
"2017-01-29","2017","01","29","†","","M","","M","","M","","M","","M","","M","","M","","M","","","","","<31",""
"2017-01-30","2017","01","30","†","","M","","M","","M","","M","","M","","M","","M","","M","","","14","","33",""
"2017-01-31","2017","01","31","†","","M","","M","","M","","M","","M","","M","","M","","M","","","25","","32",""
"2017-02-01","2017","02","01","†","","M","","M","","M","","M","","M","","M","","M","","M","","","27","","59",""
"2017-02-02","2017","02","02","†","","M","","M","","M","","M","","M","","M","","M","","M","","","30","","85",""
"2017-02-03","2017","02","03","†","","M","","M","","M","","M","","M","","M","","M","","M","","","30","","83",""
"2017-02-04","2017","02","04","†","","M","","M","","M","","M","","M","","M","","M","","M","","","27","","56",""
"2017-02-05","2017","02","05","†","","M","","M","","M","","M","","M","","M","","M","","M","","","","","<31",""
"2017-02-06","2017","02","06","†","","M","","M","","M","","M","","M","","M","","M","","M","","","24","","33",""
"2017-02-07","2017","02","07","†","","M","","M","","M","","M","","M","","M","","M","","M","","","28","","56",""
"2017-02-08","2017","02","08","†","","M","","M","","M","","M","","M","","M","","M","","M","","","28","","78",""
"2017-02-09","2017","02","09","†","","M","","M","","M","","M","","M","","M","","M","","M","","","26","","63",""
"2017-02-10","2017","02","10","†","","M","","M","","M","","M","","M","","M","","M","","M","","","26","","44",""
"2017-02-11","2017","02","11","†","","M","","M","","M","","M","","M","","M","","M","","M","","","","","<31",""
"2017-02-12","2017","02","12","†","","M","","M","","M","","M","","M","","M","","M","","M","","","","","<31",""
"2017-02-13","2017","02","13","†","","M","","M","","M","","M","","M","","M","","M","","M","","","10","","46",""
"2017-02-14","2017","02","14","†","","M","","M","","M","","M","","M","","M","","M","","M","","","26","","52",""
"2017-02-15","2017","02","15","†","","M","","M","","M","","M","","M","","M","","M","","M","","","27","","57",""
"2017-02-16","2017","02","16","†","","M","","M","","M","","M","","M","","M","","M","","M","","","27","","46",""
"2017-02-17","2017","02","17","†","","M","","M","","M","","M","","M","","M","","M","","M","","","28","","43",""
"2017-02-18","2017","02","18","†","","M","","M","","M","","M","","M","","M","","M","","M","","","7","","33",""
"2017-02-19","2017","02","19","†","","M","","M","","M","","M","","M","","M","","M","","M","","","10","","43",""
"2017-02-20","2017","02","20","†","","M","","M","","M","","M","","M","","M","","M","","M","","","27","","32",""
"2017-02-21","2017","02","21","†","","M","","M","","M","","M","","M","","M","","M","","M","","","","","<31",""
"2017-02-22","2017","02","22","†","","M","","M","","M","","M","","M","","M","","M","","M","","","28","","43",""
"2017-02-23","2017","02","23","†","","M","","M","","M","","M","","M","","M","","M","","M","","","9","","56",""
"2017-02-24","2017","02","24","†","","M","","M","","M","","M","","M","","M","","M","","M","","","","","<31",""
"2017-02-25","2017","02","25","†","","M","","M","","M","","M","","M","","M","","M","","M","","","9","","52",""
"2017-02-26","2017","02","26","†","","M","","M","","M","","M","","M","","M","","M","","M","","","9","","65",""
"2017-02-27","2017","02","27","†","","M","","M","","M","","M","","M","","M","","M","","M","","","10","","63",""
"2017-02-28","2017","02","28","†","","M","","M","","M","","M","","M","","M","","M","","M","","","30","","95",""
