"Station Name","HERSCHEL ISLAND"
"Province","YUKON TERRITORY"
"Latitude","69.57"
"Longitude","-138.91"
"Elevation","1.20"
"Climate Identifier","2100636"
"WMO Identifier","71501"
"TC Identifier","WJN"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2005-01-01","2005","01","01","","-6.3","","-14.3","","-10.3","","28.3","","0.0","","","","","","0.0","","","","","","",""
"2005-01-02","2005","01","02","","-6.7","","-13.8","","-10.3","","28.3","","0.0","","","","","","0.0","","","","","","",""
"2005-01-03","2005","01","03","","-2.9","","-11.2","","-7.1","","25.1","","0.0","","","","","","0.0","","","","","","",""
"2005-01-04","2005","01","04","","-2.6","","-9.7","","-6.2","","24.2","","0.0","","","","","","0.0","","","","","","",""
"2005-01-05","2005","01","05","","-6.8","","-13.0","","-9.9","","27.9","","0.0","","","","","","0.0","","","","","","",""
"2005-01-06","2005","01","06","","-11.6","","-16.8","","-14.2","","32.2","","0.0","","","","","","6.2","","","","","","",""
"2005-01-07","2005","01","07","","-11.8","","-13.3","","-12.6","","30.6","","0.0","","","","","","6.5","","","","","","",""
"2005-01-08","2005","01","08","","-0.3","","-13.1","","-6.7","","24.7","","0.0","","","","","","0.0","","","","","","",""
"2005-01-09","2005","01","09","","-13.1","","-22.1","","-17.6","","35.6","","0.0","","","","","","0.0","","","","","","",""
"2005-01-10","2005","01","10","","-22.2","","-23.2","","-22.7","","40.7","","0.0","","","","","","0.0","","","","","","",""
"2005-01-11","2005","01","11","","","M","","Y","","M","","M","","M","","","","","","M","","","","","",""
"2005-01-12","2005","01","12","","","M","","Y","","M","","M","","M","","","","","","M","","","","","",""
"2005-01-13","2005","01","13","","","M","","Y","","M","","M","","M","","","","","","M","","","","","",""
"2005-01-14","2005","01","14","","","M","","Y","","M","","M","","M","","","","","","M","","","","","",""
"2005-01-15","2005","01","15","","","M","","Y","","M","","M","","M","","","","","","M","","","","","",""
"2005-01-16","2005","01","16","","","M","","Y","","M","","M","","M","","","","","","M","","","","","",""
"2005-01-17","2005","01","17","","","M","","Y","","M","","M","","M","","","","","","M","","","","","",""
"2005-01-18","2005","01","18","","","M","","Y","","M","","M","","M","","","","","","M","","","","","",""
"2005-01-19","2005","01","19","","","M","","Y","","M","","M","","M","","","","","","M","","","","","",""
"2005-01-20","2005","01","20","","","M","","Y","","M","","M","","M","","","","","","M","","","","","",""
"2005-01-21","2005","01","21","","","M","","Y","","M","","M","","M","","","","","","M","","","","","",""
"2005-01-22","2005","01","22","","","M","","Y","","M","","M","","M","","","","","","M","","","","","",""
"2005-01-23","2005","01","23","","","M","","Y","","M","","M","","M","","","","","","M","","","","","",""
"2005-01-24","2005","01","24","","","M","","Y","","M","","M","","M","","","","","","M","","","","","",""
"2005-01-25","2005","01","25","","","M","","Y","","M","","M","","M","","","","","","M","","","","","",""
"2005-01-26","2005","01","26","","","M","","Y","","M","","M","","M","","","","","","M","","","","","",""
"2005-01-27","2005","01","27","","","M","","Y","","M","","M","","M","","","","","","M","","","","","",""
"2005-01-28","2005","01","28","","","M","","Y","","M","","M","","M","","","","","","M","","","","","",""
"2005-01-29","2005","01","29","","","M","","Y","","M","","M","","M","","","","","","M","","","","","",""
"2005-01-30","2005","01","30","","","M","","Y","","M","","M","","M","","","","","","M","","","","","",""
"2005-01-31","2005","01","31","","","M","","Y","","M","","M","","M","","","","","","M","","","","","",""
"2005-02-01","2005","02","01","","","","","","","","","","","","","","","","","","","","","","",""
"2005-02-02","2005","02","02","","","","","","","","","","","","","","","","","","","","","","",""
"2005-02-03","2005","02","03","","","","","","","","","","","","","","","","","","","","","","",""
"2005-02-04","2005","02","04","","","","","","","","","","","","","","","","","","","","","","",""
"2005-02-05","2005","02","05","","","","","","","","","","","","","","","","","","","","","","",""
"2005-02-06","2005","02","06","","","","","","","","","","","","","","","","","","","","","","",""
"2005-02-07","2005","02","07","","","","","","","","","","","","","","","","","","","","","","",""
"2005-02-08","2005","02","08","","","","","","","","","","","","","","","","","","","","","","",""
"2005-02-09","2005","02","09","","","","","","","","","","","","","","","","","","","","","","",""
"2005-02-10","2005","02","10","","","","","","","","","","","","","","","","","","","","","","",""
"2005-02-11","2005","02","11","","","","","","","","","","","","","","","","","","","","","","",""
"2005-02-12","2005","02","12","","","","","","","","","","","","","","","","","","","","","","",""
"2005-02-13","2005","02","13","","","","","","","","","","","","","","","","","","","","","","",""
"2005-02-14","2005","02","14","","","","","","","","","","","","","","","","","","","","","","",""
"2005-02-15","2005","02","15","","","","","","","","","","","","","","","","","","","","","","",""
"2005-02-16","2005","02","16","","","","","","","","","","","","","","","","","","","","","","",""
"2005-02-17","2005","02","17","","","","","","","","","","","","","","","","","","","","","","",""
"2005-02-18","2005","02","18","","","","","","","","","","","","","","","","","","","","","","",""
"2005-02-19","2005","02","19","","","","","","","","","","","","","","","","","","","","","","",""
"2005-02-20","2005","02","20","","","","","","","","","","","","","","","","","","","","","","",""
"2005-02-21","2005","02","21","","","","","","","","","","","","","","","","","","","","","","",""
"2005-02-22","2005","02","22","","","","","","","","","","","","","","","","","","","","","","",""
"2005-02-23","2005","02","23","","","","","","","","","","","","","","","","","","","","","","",""
"2005-02-24","2005","02","24","†","","M","","M","","M","","M","","M","","M","","M","","M","","","","M","","M"
"2005-02-25","2005","02","25","","","","","","","","","","","","","","","","","","","","","","",""
"2005-02-26","2005","02","26","","","","","","","","","","","","","","","","","","","","","","",""
"2005-02-27","2005","02","27","","","","","","","","","","","","","","","","","","","","","","",""
"2005-02-28","2005","02","28","","","","","","","","","","","","","","","","","","","","","","",""
"2005-03-01","2005","03","01","","","M","","M","","M","","M","","M","","","","","","","","","","","",""
"2005-03-02","2005","03","02","","","M","","M","","M","","M","","M","","","","","","","","","","","",""
"2005-03-03","2005","03","03","","","M","","M","","M","","M","","M","","","","","","","","","","","",""
"2005-03-04","2005","03","04","","","M","","M","","M","","M","","M","","","","","","","","","","","",""
"2005-03-05","2005","03","05","","","M","","M","","M","","M","","M","","","","","","","","","","","",""
"2005-03-06","2005","03","06","","","M","","M","","M","","M","","M","","","","","","","","","","","",""
"2005-03-07","2005","03","07","","","M","","M","","M","","M","","M","","","","","","","","","","","",""
"2005-03-08","2005","03","08","","","M","","M","","M","","M","","M","","","","","","","","","","","",""
"2005-03-09","2005","03","09","","","M","","M","","M","","M","","M","","","","","","","","","","","",""
"2005-03-10","2005","03","10","","","M","","M","","M","","M","","M","","","","","","","","","","","",""
"2005-03-11","2005","03","11","","","M","","M","","M","","M","","M","","","","","","","","","","","",""
"2005-03-12","2005","03","12","","","M","","M","","M","","M","","M","","","","","","","","","","","",""
"2005-03-13","2005","03","13","","","M","","M","","M","","M","","M","","","","","","","","","","","",""
"2005-03-14","2005","03","14","","-6.9","","-15.5","","-11.2","","29.2","","0.0","","","","","","","","","","","","",""
"2005-03-15","2005","03","15","","-14.7","","-15.2","","-15.0","","33.0","","0.0","","","","","","","","","","","","",""
"2005-03-16","2005","03","16","","","M","","M","","M","","M","","M","","","","","","","","","","","",""
"2005-03-17","2005","03","17","","-16.5","E","-24.0","E","-20.3","E","38.3","E","0.0","E","","","","","","","","","","","",""
"2005-03-18","2005","03","18","","-14.9","","","M","","M","","M","","M","","","","","","","","","","","",""
"2005-03-19","2005","03","19","","-12.7","","-18.5","E","-15.6","E","33.6","E","0.0","E","","","","","","","","","","","",""
"2005-03-20","2005","03","20","","","M","-20.5","","","M","","M","","M","","","","","","","","","","","",""
"2005-03-21","2005","03","21","","-17.9","","","M","","M","","M","","M","","","","","","","","","","","",""
"2005-03-22","2005","03","22","","","M","","M","","M","","M","","M","","","","","","","","","","","",""
"2005-03-23","2005","03","23","","","M","","M","","M","","M","","M","","","","","","","","","","","",""
"2005-03-24","2005","03","24","","","M","","M","","M","","M","","M","","","","","","","","","","","",""
"2005-03-25","2005","03","25","","","M","","M","","M","","M","","M","","","","","","","","","","","",""
"2005-03-26","2005","03","26","","","M","","M","","M","","M","","M","","","","","","","","","","","",""
"2005-03-27","2005","03","27","","","M","","M","","M","","M","","M","","","","","","","","","","","",""
"2005-03-28","2005","03","28","","","M","","M","","M","","M","","M","","","","","","","","","","","",""
"2005-03-29","2005","03","29","","","M","","M","","M","","M","","M","","","","","","","","","","","",""
"2005-03-30","2005","03","30","","","M","","M","","M","","M","","M","","","","","","","","","","","",""
"2005-03-31","2005","03","31","","","M","","M","","M","","M","","M","","","","","","","","","","","",""
"2005-04-01","2005","04","01","","-24.0","E","-29.0","E","-26.5","E","44.5","E","0.0","E","","","","","","","","","","","",""
"2005-04-02","2005","04","02","","","M","","Y","","M","","M","","M","","","","","","","","","","","",""
"2005-04-03","2005","04","03","","","M","","Y","","M","","M","","M","","","","","","","","","","","",""
"2005-04-04","2005","04","04","","","M","","Y","","M","","M","","M","","","","","","","","","","","",""
"2005-04-05","2005","04","05","","","M","","Y","","M","","M","","M","","","","","","","","","","","",""
"2005-04-06","2005","04","06","","","M","","Y","","M","","M","","M","","","","","","","","","","","",""
"2005-04-07","2005","04","07","","","M","","Y","","M","","M","","M","","","","","","","","","","","",""
"2005-04-08","2005","04","08","","","M","","Y","","M","","M","","M","","","","","","","","","","","",""
"2005-04-09","2005","04","09","","","M","","Y","","M","","M","","M","","","","","","","","","","","",""
"2005-04-10","2005","04","10","","","M","","Y","","M","","M","","M","","","","","","","","","","","",""
"2005-04-11","2005","04","11","","","M","","Y","","M","","M","","M","","","","","","","","","","","",""
"2005-04-12","2005","04","12","","","M","","Y","","M","","M","","M","","","","","","","","","","","",""
"2005-04-13","2005","04","13","","","M","","Y","","M","","M","","M","","","","","","","","","","","",""
"2005-04-14","2005","04","14","","","M","","Y","","M","","M","","M","","","","","","","","","","","",""
"2005-04-15","2005","04","15","","","M","","Y","","M","","M","","M","","","","","","","","","","","",""
"2005-04-16","2005","04","16","","","M","","Y","","M","","M","","M","","","","","","","","","","","",""
"2005-04-17","2005","04","17","","","M","","Y","","M","","M","","M","","","","","","","","","","","",""
"2005-04-18","2005","04","18","","","M","","Y","","M","","M","","M","","","","","","","","","","","",""
"2005-04-19","2005","04","19","","","M","","Y","","M","","M","","M","","","","","","","","","","","",""
"2005-04-20","2005","04","20","","","M","","Y","","M","","M","","M","","","","","","","","","","","",""
"2005-04-21","2005","04","21","","-14.0","","-16.2","","-15.1","","33.1","","0.0","","","","","","","","","","","","",""
"2005-04-22","2005","04","22","","-9.1","","-14.8","","-12.0","","30.0","","0.0","","","","","","","","","","","","",""
"2005-04-23","2005","04","23","","-4.4","","-10.4","","-7.4","","25.4","","0.0","","","","","","","","","","","","",""
"2005-04-24","2005","04","24","","-4.3","","-5.8","","-5.1","","23.1","","0.0","","","","","","","","","","","","",""
"2005-04-25","2005","04","25","","-5.7","","-9.2","","-7.5","","25.5","","0.0","","","","","","","","","","","","",""
"2005-04-26","2005","04","26","","-6.8","","-9.2","","-8.0","","26.0","","0.0","","","","","","","","","","","","",""
"2005-04-27","2005","04","27","","-5.0","","-6.9","","-6.0","","24.0","","0.0","","","","","","","","","","","","",""
"2005-04-28","2005","04","28","","-5.1","","-6.5","","-5.8","","23.8","","0.0","","","","","","","","","","","","",""
"2005-04-29","2005","04","29","","-4.2","","-7.1","","-5.7","","23.7","","0.0","","","","","","","","","","","","",""
"2005-04-30","2005","04","30","","-2.7","","-4.2","","-3.5","","21.5","","0.0","","","","","","","","","","","","",""
"2005-05-01","2005","05","01","","-2.8","","-4.6","","-3.7","","21.7","","0.0","","","","","","","","","","","","",""
"2005-05-02","2005","05","02","","-4.5","","-5.6","","-5.1","","23.1","","0.0","","","","","","","","","","","","",""
"2005-05-03","2005","05","03","","-5.1","","-7.5","","-6.3","","24.3","","0.0","","","","","","","","","","","","",""
